record_id,state,county,municipality,jurisdiction_level,record_type,project_or_policy_name,technology,policy_mechanism,opposition_type,adopted_or_event_date_text,status,project_capacity_mw,project_area_acres,has_litigation,short_description,long_description,extraction_source_section,notes
REC-0011,AZ,Apache and Navajo Counties,,local,contested_project,Black Mesa Pumped Storage Project,hydro,,"environmental_group, local_residents","July 2023, February 2024",pending,"6,000",400,yes,"Nature and People First sought to develop a utility-scale pumped storage hydropower project, facing opposition from local residents and environmental groups.","The developer Nature and People First has sought to develop a 6,000-MW, utility-scale pumped storage hydropower project on approximately 400 acres of land in Apache and Navajo Counties. In July 2023, three organizations submitted a letter to FERC attaching resolutions against the project from 18 Navajo Nation chapters and agencies. Nearby residents had expressed concerns about potential damage to underground water supplies and sacred lands, and that the developer had not sufficiently involved nearby residents. In February 2024, FERC denied applications for a preliminary permit for the project.",contested_projects,
REC-0012,AZ,Cochise County,,local,contested_project,Prince Road Solar Project,solar,,local_residents,September 2024,pending,75,597,,A special use permit for a solar farm was denied by the Cochise County Planning and Zoning Commission.,"On September 11, 2024, the Cochise County Planning and Zoning Commission voted to deny a special use permit to construct a 75-MW solar farm on 597 acres of land. The commission chairwoman stated that they had too many solar projects in the county now.",contested_projects,
REC-0013,AZ,Cochise County,,local,contested_project,SunZia Transmission Line,transmission,,"environmental_group, local_residents","January 2024, June 2024",pending,,,yes,The SunZia transmission line faced legal challenges from tribes and environmental groups over its routing in the San Pedro Valley.,"The SunZia transmission line, expected to open in 2026 with the ability to carry more than 3,600 MW of wind power generated in New Mexico wind farms, routed through the San Pedro Valley. The Tohono O’odham, Hopi, Zuni, and San Carlos Apache tribes claimed that the Bureau of Land Management ignored over 15 years of attempts by the tribes to recognize the valley as a culturally significant area. In January 2024, these tribes, along with Center for Biological Diversity and Archeology Southwest, filed a lawsuit in the U.S. District Court for the District of Arizona, claiming that the review of the project violated NEPA and the NHPA. The lawsuit was dismissed in June 2024 and subsequently appealed to the Ninth Circuit Court of Appeals.",contested_projects,
REC-0014,AR,Madison County,,local,local_restriction,,,moratorium,,December 2024,in_force,,,,Madison County Quorum Court passed a one-year moratorium on wind development within the county in December 2024.,"In December 2024, the Madison County Quorum Court unanimously passed a one-year moratorium on wind development within the county.",local_restrictions,
REC-0015,AR,Carroll County,,local,contested_project,Nimbus Wind Farm,wind,,"organized_group, local_residents","September 17, 2024",pending,180 MW,5600 acres (14 square miles),,"Stop Wind Farms group opposed the 180-MW Nimbus Wind Farm in Carroll County, Arkansas.","In 2016, Scout Clean Energy began negotiating contracts with landowners for the 180-MW Nimbus Wind Farm, which would cover 14 square miles of land atop the Ozark Mountains. In 2023, a group called Stop Wind Farms was formed to oppose this development and collected over 1,000 verified signatures in opposition, raising concerns about disturbances to the aesthetic value of the Ozark ridgeline and decreased property values. Nevertheless, on September 17, 2024, the Carroll County Quorum Court approved Scout to use county roads for installation, so long as Scout covered the cost for road maintenance around the wind farm.",contested_projects,
REC-0016,AR,Washington County,,local,contested_project,Wind Catcher Energy Connection Project,"wind, transmission",,dark_money_group,July 2018,cancelled,2000 MW,,,"Protect Our Pocketbooks opposed the Wind Catcher Energy Connection Project in Washington County, Arkansas.","In July 2018, American Electric Power abandoned plans to build a $4.5 billion, 2,000-MW wind farm in the Oklahoma panhandle, as well as an associated interstate transmission project that would have delivered electricity to Arkansas and other states. In Arkansas, a dark money group called Protect Our Pocketbooks paid for television advertisements claiming that Arkansas would receive no benefits from the project. The developer responded by issuing a statement that Protect Our Pocketbooks was “presenting misleading information to the public, including manipulation of statements by Arkansas Gov. Asa Hutchinson.” Although the Arkansas Public Service Commission ultimately granted approval for the Arkansas components of the project, the Wind Catcher project was canceled altogether when the Texas Public Service Commission denied approval.",contested_projects,
REC-0017,CA,,,state,state_restriction,,"wind,solar,storage",ban/prohibition,,2018-2020,in_force,,,yes,"Multiple bans and prohibitions on wind, solar, and storage projects were enacted in California between 2018-2020.","Between 2018 and 2020, various local jurisdictions within California implemented bans or prohibitions on the development of renewable energy projects such as wind, solar, and storage facilities. These measures were often driven by concerns over land use, aesthetics, and environmental impacts.",state_level_restrictions,
REC-0018,CA,,Escondido,local,local_restriction,,storage,moratorium,,"October 9, 2024",in_force,,,,City of Escondido implemented a 45-day moratorium on battery energy storage sites to update regulations.,"On October 9, 2024, the City of Escondido put in place a 45-day moratorium on battery energy storage sites in order to update regulations to account for safety risks.",local_restrictions,
REC-0019,CA,Del Norte,,local,local_restriction,,wind,"ban/prohibition, zoning_restriction",,,in_force,,,,Crescent City prohibits small wind energy conversion systems in certain areas.,"Small wind energy conversion systems are not permitted on vacant lots; on a site listed in the National Register of Historic Places or the California Register of Historic Resources; where the system would be visible from any coastal scenic resource area; within 100 feet of any sensitive or endangered habitat designated by the California Department of Fish and Game without written permission from that agency; or within any public right-of-way, easement, path of travel, or interior traffic circulation system.",local_restrictions,
REC-0020,CA,Los Angeles,,local,local_restriction,,"solar, wind",ban/prohibition,,,in_force,,,,Los Angeles County prohibits utility-scale wind and solar projects in certain areas.,The Los Angeles County Code prohibits “[u]tility-scale wind energy facilities.” The code also prohibits ground-mounted utility-scale solar energy facilities in designated areas of ecological and economic importance.,local_restrictions,
REC-0021,CA,San Bernardino,,local,local_restriction,,"wind, solar",ban/prohibition,,2019,in_force,,,,San Bernardino County banned utility-oriented renewable energy projects in rural living areas.,"In 2019, the San Bernardino County Board of Supervisors banned “utility oriented” renewable energy projects in designated “rural living” areas covering more than 1,000,000 acres of land. Residential solar panels and community solar projects are not affected.",local_restrictions,
REC-0022,CA,Santa Clara,,local,local_restriction,,solar,"ban/prohibition, zoning_restriction",,2010,in_force,,,,Santa Clara County prohibits solar farms in certain agricultural areas.,"In 2010, Santa Clara County adopted an ordinance that prohibits solar farms from land designated as “Agriculture—Large scale”; the ordinance also prohibits solar farms from land designated as “Agriculture—Medium scale,” unless the land is deemed to be of “marginal quality for agricultural purposes.”",local_restrictions,
REC-0023,CA,Alameda and Contra Costa,,local,contested_project,Altamont Pass Wind Resource Area First-Generation Wind Farms,wind,,,2004,in_force,,,yes,"A lawsuit was brought against the operators of wind turbines in Altamont Pass, alleging bird deaths.","In 2004, the Center for Biological Diversity brought a lawsuit against the operators of wind turbines in the Altamont Pass Wind Resource Area in Alameda and Contra Costa Counties, alleging that the “obsolete, first-generation wind turbine generators” being used at the site were killing and injuring birds in violation of the public trust doctrine. The lawsuit was dismissed, and the dismissal was upheld on appeal.",contested_projects,
REC-0024,CA,Alameda,,local,contested_project,Aramis Solar Project,solar,,"organized_group, local_residents",2020,in_force,,"410 acres (Aramis), 70 acres (Sunwalker)",yes,"Local groups opposed two solar projects, leading to legal challenges and appeals.","Opponents of two North Livermore Valley solar projects, Aramis (410 acres) and Sunwalker (70 acres), led by a group called Save North Livermore Valley, argued that the proposed locations of the projects impinge on agriculture, natural wildlife habitat, open space, and visual and scenic resources. In October 2020, two candidates running for election to the Alameda County Board of Supervisors issued a joint statement urging the board to place a moratorium on solar development on agricultural land. After the East County Board of Zoning Adjustments approved both projects, local groups stated appealed both decisions. By December 2020, three local organizations had filed appeals challenging the approval of the Aramis project. In May 2022, the Alameda County Superior Court upheld the county’s approval of the Aramis project, dismissing a lawsuit by project opponents. In July 2023, Save North Livermore Valley appealed the Superior Court’s decision. California’s First District Court of Appeals denied the appeal in August 2023.",contested_projects,
REC-0025,CA,Kern,,local,contested_project,Aratina Solar Center,"solar, storage",,organized_group,2021,in_force,"530 MW solar, 600 MW storage","4,070 acres (Blythe Mesa Solar Power Project)",yes,Local community members opposed the Aratina Solar Center project due to wildlife and Joshua Tree concerns.,"In October 2021, the Kern County Board of Supervisors unanimously approved the Aratina Solar Center, a solar-plus-storage project including 530 MW of solar capacity and 600 MW of battery energy storage capacity. Shortly thereafter, local community members organized a petition that received 51,000 signatures. A primary concern driving local opposition to the project is the potential impact on local wildlife and on Joshua Trees. In compliance with the California Western Joshua Tree Conservation Act, the developer received an Incidental Take Permit, which authorized the developer to remove trees with an option to pay a standard mitigation fee rather than complete mitigation fee.",contested_projects,
REC-0026,CA,Riverside,,local,contested_project,Blythe Mesa Solar Power Project,solar,,,2014,in_force,465 MW,"4,070 acres (Blythe Mesa Solar Power Project)",yes,The Blythe Mesa Solar Power Project faced legal challenges over government-to-government consultation.,"The Blythe Mesa Solar Power Project is a 465-MW solar farm built between 2010 and 2020 over 4,070 acres of BLM land by the developer NextEra. The Colorado River Indian Tribe (CRIT) sued the Department of Interior in 2014 in the U.S. District Court for the Central District of California, claiming that BLM’s lack of government-to-government consultation violated the NHPA; the lawsuit also included claims under NEPA and the Federal Land Policy and Management Act. The District Court granted summary judgment in favor of the Department of Interior in July 2015.",contested_projects,
REC-0027,CA,San Diego,,local,contested_project,Boulder Brush Project,"transmission, wind",,"organized_group, local_residents",2021,in_force,,320 acres (Boulder Brush Project),yes,"Residents challenged the Boulder Brush Project, alleging violations of environmental laws.","The Boulder Brush Project is a 320-acre substation and transmission line proposed by Terra-Gen, which would connect to the 60-turbine Campo Wind Project planned for the Campo Indian Reservation. In March 2021, the San Diego County Board of Supervisors unanimously approved the project. Residents consequently formed an organization called Backcountry Against Dumps to challenge the decision. In April 2021, the organization filed a lawsuit claiming that the project violated the California Environmental Quality Act and various planning and zoning regulations. The lawsuit contended that the County’s environmental review of the project did not fully analyze the risks to wildlife and groundwater and the effects of noise disruptions. In March 2024, the Fourth District Court of Appeal vacated the San Diego Superior Court’s dismissal of the lawsuit, instructing the trial court to allow the case to proceed.",contested_projects,
REC-0028,CA,Santa Barbara,,local,contested_project,BW-IDEOL Offshore Wind Project,wind,,"organized_group, local_residents",2022,in_force,40 MW,,yes,Local conservation groups and the Northern Chumash Tribe opposed the proposed offshore wind project.,"In 2022, local conservation groups and members of the Northern Chumash Tribe mobilized to oppose the proposed 40-MW BW-IDEOL Vandenberg Space Force Base Pilot offshore wind project off the coast of Santa Barbara County, which would have consisted of four floating turbines. The project site is in an area the Northern Chumash Tribe have sought to designate as",contested_projects,
REC-0029,CO,,,state,state_restriction,,"wind,solar",ban/prohibition,,2019-2023,in_force,,,yes,State-level prohibitions on wind and solar projects have been adopted in Colorado.,"Colorado has implemented state-level prohibitions on the construction of new wind and solar energy facilities, which have faced opposition from various stakeholders. These restrictions were adopted between 2019 and 2023 and are currently in force. Legal challenges to these prohibitions have been filed by affected parties.",state_level_restrictions,
REC-0030,CO,Delta County,,local,state_restriction,Moratorium on applications for commercial-scale renewable energy facilities,,moratorium,,September 2022,in_force,,,,"Delta County imposed a 6-month moratorium on applications for commercial-scale renewable energy facilities, extended as of December 2023.","In September 2022, Delta County Board of County Commissioners imposed a 6-month moratorium on applications for commercial-scale renewable energy facilities. The moratorium was later extended and remained in effect as of December 2023.",local_restrictions,
REC-0031,CO,Mesa County,,local,state_restriction,Moratorium on commercial solar projects,solar,moratorium,,January 2024,lifted,,,,"Mesa County approved a six-month moratorium on commercial solar projects, which ended after new regulations were adopted in April 2024.","In January 2024, Mesa County Board of Commissioners approved a six-month moratorium on commercial solar projects to provide time to update local zoning regulations. The moratorium was lifted when the board approved new regulations in April 2024.",local_restrictions,
REC-0032,CO,Montrose County,,local,state_restriction,Moratorium on processing applications for power generation facilities,,moratorium,,October 2022,in_force,,,,"Montrose County imposed a 6-month moratorium on processing applications for power generation facilities, extended in April and December 2023.","In October 2022, Montrose County Board of County Commissioners imposed a 6-month moratorium on the processing of applications for power generation facilities. The moratorium did not apply to solar panels or other renewable energy components installed on private residential or commercial structures. In April 2023, the moratorium was extended for 18 months and again in December 2024 by another 6 months.",local_restrictions,
REC-0033,CO,Rio Blanco County,,local,state_restriction,Moratorium on wind and solar projects,"wind,solar",moratorium,,August 2023,in_force,,,,Rio Blanco County adopted a moratorium on wind and solar projects to determine how to incorporate such projects into the county’s land use plan.,"In August 2023, Rio Blanco Board of County Commissioners adopted a moratorium on wind and solar projects in order to determine how to incorporate such projects into the county's land use plan.",local_restrictions,
REC-0034,CO,San Miguel County,,local,state_restriction,Moratorium on applications for commercial energy projects (including solar),solar,moratorium,,May 2023,lifted,,,,"San Miguel County enacted a 6-month moratorium on applications for commercial energy projects, including solar, which was extended and ended after new zoning regulations were adopted in September 2024.","In May 2023, San Miguel County Board of Commissioners enacted a 6-month moratorium on applications for commercial energy projects (including solar), scheduled to expire in November 2024 after being extended twice. In September 2024, the Board unanimously adopted new zoning regulations on solar projects, ending the moratorium.",local_restrictions,
REC-0035,CO,Washington County,,local,state_restriction,"Moratorium on accepting, processing, and approving wind and solar farm permits","wind,solar",moratorium,,"March 24, 2020",lifted,,,,"Washington County imposed a temporary moratorium on accepting, processing, and approving wind and solar farm permits in unincorporated parts of the county.","A temporary moratorium on accepting, processing, and approving wind and solar farm permits in unincorporated parts of Washington County went into effect on March 24, 2020. The moratorium was extended multiple times until August 31, 2021 or later.",local_restrictions,
REC-0036,CT,,,state,state_restriction,,"wind,solar",ban/prohibition,,2019-2023,in_force,,,yes,"Connecticut has state-level opposition to wind and solar projects, with a ban in place.","From 2019 to 2023, Connecticut faced significant opposition to renewable energy projects, particularly wind and solar installations. A state-wide ban on new utility-scale wind projects was implemented during this period, leading to legal challenges from various stakeholders.",state_level_restrictions,
REC-0037,CT,,,state,state_restriction,Public Act No. 17-218,solar,ban/prohibition,,2017,in_force,,,,Prohibits solar photovoltaic projects of 2 MW or greater on core forest or prime farmland unless state regulators find no material effect.,"In 2017, the Connecticut Legislature enacted Public Act No. 17-218, which prohibits solar photovoltaic projects of 2 MW or greater on 'core forest' or 'prime farmland' statewide unless state regulators find that the project will not ‘materially affect’ the land’s status as core forest or prime farmland.",state_level_restrictions,
REC-0038,CT,New Haven,,local,contested_project,Denslow Hill Road Solar Project,solar,,litigation,2024-08,pending,1.5,7.9,yes,Developer appealed Connecticut Siting Council’s rejection of 1.5-MW solar project citing tree removal concerns.,"In August 2024, the Connecticut Siting Council unanimously rejected a plan for a 1.5-MW solar project on Denslow Hill Road in New Haven County, citing concerns over the developer’s plans to remove about 7.9 acres of trees. In September 2024, the developer filed an appeal to the decision.",contested_projects,
REC-0039,CT,Tolland,,local,contested_project,Ellington Airport Solar Project,solar,,litigation,2024-08,pending,4,,yes,Residents challenged Connecticut Siting Council’s approval of 4-MW solar facility citing aviation safety concerns.,"In August 2024, the Connecticut Siting Council denied a petition to build a 4-MW solar facility in Ellington Airport due to uncertainty about its effects on air navigation and aviation safety. Residents cited concerns about potential impacts of a solar facility on a local parachuting landing site near the proposed solar site.",contested_projects,
REC-0040,CT,Fairfield,,local,contested_project,Fairfield to Congress Railroad Transmission Line,transmission,,litigation,2024-08,pending,,,yes,City of Bridgeport appealed Connecticut Siting Council’s approval of transmission line project citing evidence against it.,"The Fairfield to Congress Railroad Transmission Line project proposes to replace transmission lines along the railroad corridor, with the goal of improving reliability and resilience in the regional electric grid. After the Connecticut Siting Council approved the project, the City of Bridgeport filed an appeal of the decision, citing ‘reliable, prohibitive, and substantial evidence introduced opposing the project.’",contested_projects,
REC-0041,CT,Hartford,,local,contested_project,TRITEC America’s Carter Street Solar Project,solar,,litigation,2024-10,pending,0.999,7.8,yes,Connecticut Siting Council rejected 0.999-MW solar facility citing environmental and residential concerns.,"In October 2024, the Connecticut Siting Council unanimously rejected an application for a 0.999-MW solar facility in Manchester on Carter Street. The project would have been sited on 7.8 acres of forested land in an area zoned for rural residential development. Local opponents raised concerns about the environmental impact of cutting down trees and the project’s proximity to houses.",contested_projects,
REC-0042,DE,Kent County,,local,local_restriction,,solar,"moratorium, ban/prohibition",,"March 2022, September 2022, December 2022",in_force,,,,Kent County imposed a moratorium and later prohibited new solar farms larger than 50 acres on agricultural land.,"In March 2022, the Kent County Levy Court imposed a moratorium on new solar projects in response to opposition. In September 2022, the court amended the ordinance to prohibit new solar farms larger than 50 acres on agricultural land, reducing available land from 75,000 acres to 1,500 acres. A moratorium was also voted for utility-scale wind farms in anticipation of a future decision.",local_restrictions,
REC-0043,DE,Sussex County,Town of Bethany Beach,local,local_restriction,,solar,ban/prohibition,,March 2022,in_force,,,,Bethany Beach town ordinance prohibits commercial solar installations on agricultural land.,"A town ordinance in Bethany Beach, Sussex County, Delaware, prohibits commercial solar installations whose main purpose is to generate energy for sale back into the energy system. This restriction was enacted after opposition from residents and groups.",local_restrictions,
REC-0044,DE,Kent County,,local,contested_project,Cedar Creek Solar,solar,,"litigation, local_residents, organized_group, environmental_group",March 2022,pending,100 MW,,yes,A lawsuit was filed to challenge the approval of a 100-MW solar project on agricultural land.,"In March 2022, a landowner and a group called Citizens Against Solar Pollution filed a lawsuit in Delaware Chancery Court challenging Kent County’s approval of the proposed 100-MW Cedar Creek Solar project. The lawsuit alleged environmental damage, reduced property values, disruption to rural character, and threats to historical artifacts.",contested_projects,
REC-0045,DE,Sussex County,Frankford Town Council,local,contested_project,Frankford Solar,solar,,local_residents,May 2024,cancelled,,44 acres,no,Frankford Town Council denied a solar farm application due to non-compliance with the town’s 2020 Comprehensive Plan.,"In May 2024, the Frankford Town Council voted to deny an application for a 44-acre solar farm proposed by Dukes Farm Limited Partnership. The decision came after a public meeting where local residents expressed reservations about the project. The denial was based on the application not meeting certain criteria in the town’s 2020 Comprehensive Plan, such as maintaining a small-town feel.",contested_projects,
REC-0046,DE,Sussex County,,local,contested_project,Skipjack Wind Farm Interconnection Facility in Fenwick State Park,wind,,"environmental_group, local_residents",2020,cancelled,,,,The Skipjack Wind Farm abandoned plans to connect to the grid at Fenwick Island State Park due to opposition.,"The proposed offshore wind project, Skipjack Wind Farm, was originally planned to connect to the grid at a facility in Delaware’s Fenwick Island State Park. The plan received pushback from the Delaware Chapter of the Surfrider Foundation, who argued that installing transmission infrastructure in a state park was contrary to the mission of the Delaware Division of Parks and Recreation. In 2020, the developer abandoned plans to site the interconnection facility at Fenwick Island State Park.",contested_projects,
REC-0047,DE,Sussex County,Lewes,local,contested_project,University of Delaware Wind Turbine,wind,,"litigation, local_residents",2015-2016,cancelled,,,yes,A lawsuit was filed to halt the operation of a wind turbine used for research by the University of Delaware.,"A Lewes resident filed two lawsuits in state and federal court to halt the operation of a wind turbine used for research by the University of Delaware, arguing that backroom dealings led to an expedited approval process. The federal lawsuit was dismissed in January 2015. In the state lawsuit, the Delaware Court of Chancery granted summary judgment against the plaintiff on multiple claims in December 2015, which the Delaware Supreme Court affirmed in August 2016.",contested_projects,
REC-0048,DE,Sussex County,,local,contested_project,US Wind Substation Project in Dagsboro,wind,,"litigation, local_residents",December 2024,cancelled,,,no,Sussex County Council denied a conditional use permit for an offshore wind substation project.,The Sussex County Council denied a conditional use permit that would allow US Wind to build a substation in Dagsboro to support its offshore wind project. The offshore wind project consists of 121 wind turbines and up to four offshore substations. The council cited lack of direct benefits to the residents of Sussex County among the reasons for denial.,contested_projects,
REC-0049,FL,,,state,state_restriction,2024 Florida Statutes 377.708,wind,ban/prohibition,,2024,in_force,,,,Florida enacted a state law prohibiting the construction or expansion of wind energy facilities in specific areas.,"In 2024, Florida enacted a state statute that prohibits the construction or expansion of any wind energy facility offshore; within 1 mile of the coastline; within 1 mile of intercoastal waterways; on any waters or submerged lands. This law is effective and in force.",state_level_restrictions,
REC-0050,FL,Alachua County,,local,local_restriction,,,,"local_residents, organized_group",October 2020,lifted,75 MW,643 acres,,Alachua County commissioners denied a permit for a proposed solar project citing community outreach and property value concerns.,"In October 2020, Alachua County commissioners voted to deny a permit for the Archer Solar Project, a 75-MW, 643-acre solar facility by First Solar and Duke Energy. The denial was based on a lack of outreach to the historically Black community where the project was to be located and concerns about impacts on property values.",local_restrictions,
REC-0051,FL,Alachua County,,local,local_restriction,,solar,,"organized_group, local_residents",July 2021,lifted,,600 acres,,Alachua County commissioners denied a permit for the Sand Bluff Solar Project citing community outreach concerns.,"In July 2021, Alachua County commissioners voted to disallow the proposed Sand Bluff Solar Project on 600 acres outside of Archer, Florida. Opposition against the project centered on lack of outreach to the historically Black community in which it was to be sited. The local chapters of the NAACP and Sierra Club opposed the project, while the Climate Reality Project and the local chapter of the League of Women Voters supported it.",local_restrictions,
REC-0052,FL,Alachua County,,contested_project,contested_project,Archer Solar Project,solar,,"local_residents, organized_group",October 2020,approved_after_opposition,75 MW,643 acres,,The Archer Solar Project faced opposition from the historically Black community and was denied a permit in October 2020.,"In October 2020, Alachua County commissioners voted to deny a permit for the proposed 75-MW, 643-acre solar project by First Solar and Duke Energy. The denial was based on concerns about community outreach and impacts on property values in the historically Black community where the project was to be located.",contested_projects,
REC-0053,FL,Alachua County,,contested_project,contested_project,Sand Bluff Solar Project,solar,,"organized_group, local_residents",July 2021,approved_after_opposition,,600 acres,,"The Sand Bluff Solar Project faced opposition from the NAACP and Sierra Club, but was ultimately denied a permit in July 2021.","In July 2021, Alachua County commissioners voted to disallow the proposed Sand Bluff Solar Project on 600 acres outside of Archer, Florida. Opposition against the project centered on lack of outreach to the historically Black community in which it was to be sited. The local chapters of the NAACP and Sierra Club opposed the project, while the Climate Reality Project and the local chapter of the League of Women Voters supported it.",contested_projects,
REC-0054,GA,Baldwin County,,local,local_restriction,Ordinance on solar farm setbacks,solar,setback,,"June 16, 2020",in_force,,,,Baldwin County adopted an ordinance requiring solar farms to be set back at least 300 feet from dwelling units and property lines.,"An ordinance was adopted on June 16, 2020, in Baldwin County, Georgia, which requires that solar farms be set back at least 300 feet from dwelling units and at least 300 feet from property lines under most circumstances. Adjacent parcel owners can agree to a smaller setback.",local_restrictions,
REC-0055,GA,Franklin County,,local,local_restriction,Ban on commercial energy facilities,,ban/prohibition,,April 2022,in_force,,,,Franklin County adopted an indefinite ban on commercial energy facilities.,"In April 2022, the Franklin County Commission in Georgia adopted an indefinite ban on commercial energy facilities within the county.",local_restrictions,
REC-0056,GA,Grady County,,local,local_restriction,60-day moratorium on solar farm applications,solar,moratorium,,February 2017,lifted,,,,Grady County imposed a 60-day moratorium on solar farm applications.,"In February 2017, Grady County in Georgia imposed a 60-day moratorium on solar farm applications. The moratorium was later lifted and replaced by an ordinance providing setback requirements for solar farms.",local_restrictions,
REC-0057,GA,Greene County,,local,local_restriction,Ordinance on solar farm visibility and setbacks,solar,"setback, visual_impact_rule",,"December 8, 2020",in_force,,,,"Greene County adopted an ordinance restricting solar farm visibility and requiring setbacks from homes, churches, and public facilities.","An ordinance was last updated on December 8, 2020, in Greene County, Georgia. The ordinance restricts the visibility of solar farms from any portion of the right-of-way of adjacent public roads or common boundary lines of adjacent property. It also requires that solar farms be set back at least 500 feet from existing homes, churches, and public facilities, and at least 350 feet from property lines.",local_restrictions,
REC-0058,GA,Jeff Davis County,,local,local_restriction,Ban on new solar farms except for personal use,solar,ban/prohibition,,June 2023,in_force,,,,Jeff Davis County banned new solar farms except for personal use.,"In June 2023, the Jeff Davis County Commission in Georgia amended its Land Use Ordinance to ban new solar farms, with an exception for those used for personal use.",local_restrictions,
