state,project_name,technology,court_level,severity_score,description,case_name,court,docket_number,case_status,linked_entity,source_record_id,case_id,source,source_url,case_source_url,reviewer_notes
NH,Franklin Solar Project,solar,state_supreme,3,"Mojalaki Holdings, LLC v. City of Franklin (Supreme Court of New Hampshire) - litigation over Franklin Solar Project","Mojalaki Holdings, LLC v. City of Franklin",Supreme Court of New Hampshire,2022-0122,ruled_for_developer,contested_project,REC-0269,case_654d463e55,Reviewed case record,https://law.justia.com/cases/new-hampshire/supreme-court/2024/2022-0122.html,https://law.justia.com/cases/new-hampshire/supreme-court/2024/2022-0122.html,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. Decided 2024-04-09: planning board denial reversed; builder's remedy granted."
NJ,Atlantic Shores South Project,wind,federal_district,3,"Save Long Beach Island v. Atlantic Shores Offshore Wind, LLC (U.S. District Court for the District of New Jersey) - litigation over Atlantic Shores South Project","Save Long Beach Island v. Atlantic Shores Offshore Wind, LLC",U.S. District Court for the District of New Jersey,3:24-cv-09377,pending,contested_project,REC-0276,case_c0443f5960,Reviewed case record,https://www.govinfo.gov/app/details/USCOURTS-njd-3_24-cv-09377,https://www.govinfo.gov/app/details/USCOURTS-njd-3_24-cv-09377,"Verified 2026-09-24 by web search: a govinfo result names this case, court and docket; opinion text not read. Appeal docketed in the Third Circuit as 26-2186. The municipalities' separate 2023 state suit was dismissed for lack of standing in April 2024 (not recorded here)."
NJ,New York Bight Offshore Wind Area,wind,federal_district,3,Save Long Beach Island v. U.S. Department of the Interior (U.S. District Court for the District of Columbia) - litigation over New York Bight Offshore Wind Area,Save Long Beach Island v. U.S. Department of the Interior,U.S. District Court for the District of Columbia,22-cv-55 (DLF),dismissed,contested_project,REC-0279,case_6b27c909ba,Reviewed case record,https://www.courtlistener.com/opinion/9382865/save-long-beach-island-v-united-states-department-of-the-interior/,https://www.courtlistener.com/opinion/9382865/save-long-beach-island-v-united-states-department-of-the-interior/,"Verified 2026-09-24 by web search: a CourtListener result names this case, court and docket; opinion text not read. Dismissed for lack of jurisdiction."
NJ,Ocean Wind 1,wind,federal_district,3,County of Cape May v. United States (U.S. District Court for the District of New Jersey) - litigation over Ocean Wind 1,County of Cape May v. United States,U.S. District Court for the District of New Jersey,1:23-cv-21201,dismissed,contested_project,REC-0281,case_5c2b2e80a1,Reviewed case record,https://www.climatecasechart.com/collections/county-of-cape-may-v-united-states_3878a5,https://www.climatecasechart.com/collections/county-of-cape-may-v-united-states_3878a5,"Verified 2026-09-24 by web search: a Sabin Center climate litigation database result names this case, court and docket; opinion text not read. Dismissed as moot after the developer cancelled Ocean Wind 1."
NV,Clark County Solar Development,solar,federal_district,3,Western Watersheds Project v. Haaland (U.S. District Court for the District of Columbia) - litigation over Clark County Solar Development,Western Watersheds Project v. Haaland,U.S. District Court for the District of Columbia,,,contested_project,REC-0259,case_d1ea6bd67c,Reviewed case record,https://www.courtlistener.com/opinion/10366230/western-watersheds-project-v-haaland/,https://www.courtlistener.com/opinion/10366230/western-watersheds-project-v-haaland/,"Verified 2026-09-24 by web search: a CourtListener result names this case, court; opinion text not read. Filed September 2023 over desert tortoise protections under the Clark County MSHCP; outcome not captured."
NV,Forest Hills Subdivision Wind Turbine,wind,state_supreme,3,Sowers v. Forest Hills Subdivision (Supreme Court of Nevada) - litigation over Forest Hills Subdivision Wind Turbine,Sowers v. Forest Hills Subdivision,Supreme Court of Nevada,58609,ruled_for_opposition,contested_project,REC-0263,case_cbdfe80fe9,Reviewed case record,https://law.justia.com/cases/nevada/supreme-court/2013/129-nev-adv-op-no-9.html,https://law.justia.com/cases/nevada/supreme-court/2013/129-nev-adv-op-no-9.html,"Verified 2026-09-24 by web search: a Justia / Casemine result names this case, court and docket; opinion text not read. Decided 2013-02-14: permanent injunction against the turbine affirmed."
OK,Osage Wind,wind,federal_appellate,3,"United States v. Osage Wind, LLC (U.S. Court of Appeals for the Tenth Circuit) - litigation over Osage Wind","United States v. Osage Wind, LLC",U.S. Court of Appeals for the Tenth Circuit,15-5121,ruled_for_opposition,contested_project,REC-0363,case_aa6cf531ba,Reviewed case record,https://law.justia.com/cases/federal/appellate-courts/ca10/15-5121/15-5121-2017-09-18.html,https://law.justia.com/cases/federal/appellate-courts/ca10/15-5121/15-5121-2017-09-18.html,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. Decided 2017-09-18: excavation was mineral development requiring an approved lease."
OR,Boardman-to-Hemingway Transmission Line,transmission,state_supreme,3,Stop B2H Coalition v. Oregon Department of Energy (Supreme Court of Oregon) - litigation over Boardman-to-Hemingway Transmission Line,Stop B2H Coalition v. Oregon Department of Energy,Supreme Court of Oregon,S069919,ruled_for_developer,contested_project,REC-0368,case_7a2b1317ae,Reviewed case record,https://law.justia.com/cases/oregon/supreme-court/2023/s069919.html,https://law.justia.com/cases/oregon/supreme-court/2023/s069919.html,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. 2023 (370 Or 792): site certificate affirmed."
OR,Echanis Wind Farm,wind,federal_appellate,3,Oregon Natural Desert Association v. Jewell (U.S. Court of Appeals for the Ninth Circuit) - litigation over Echanis Wind Farm,Oregon Natural Desert Association v. Jewell,U.S. Court of Appeals for the Ninth Circuit,13-36078,ruled_for_opposition,contested_project,REC-0369,case_31209f3282,Reviewed case record,https://cdn.ca9.uscourts.gov/datastore/opinions/2016/05/26/13-36078.pdf,https://cdn.ca9.uscourts.gov/datastore/opinions/2016/05/26/13-36078.pdf,"Verified 2026-09-24 by web search: a ca9.uscourts.gov result names this case, court and docket; opinion text not read. Same case as REC-0375 (Echanis project on Steens Mountain)."
OR,Origis Energy Solar Project,solar,state_appellate,3,1000 Friends of Oregon v. Jackson County (Oregon Court of Appeals) - litigation over Origis Energy Solar Project,1000 Friends of Oregon v. Jackson County,Oregon Court of Appeals,,ruled_for_opposition,contested_project,REC-0374,case_bc4a549741,Reviewed case record,https://www.courtlistener.com/opinion/6657003/1000-friends-of-or-v-jackson-cnty/,https://www.courtlistener.com/opinion/6657003/1000-friends-of-or-v-jackson-cnty/,"Verified 2026-09-24 by web search: a CourtListener result names this case, court; opinion text not read. Held the 80-acre solar facility was not 'industrial development'; LUBA's reversal of the county approval stood."
OR,Steens Wind,wind,federal_appellate,3,Oregon Natural Desert Association v. Jewell (U.S. Court of Appeals for the Ninth Circuit) - litigation over Steens Wind,Oregon Natural Desert Association v. Jewell,U.S. Court of Appeals for the Ninth Circuit,13-36078,ruled_for_opposition,contested_project,REC-0375,case_31209f3282,Reviewed case record,https://cdn.ca9.uscourts.gov/datastore/opinions/2016/05/26/13-36078.pdf,https://cdn.ca9.uscourts.gov/datastore/opinions/2016/05/26/13-36078.pdf,"Verified 2026-09-24 by web search: a ca9.uscourts.gov result names this case, court and docket; opinion text not read. Decided 2016-05-26: BLM environmental review of the Echanis project held inadequate."
SD,Crowned Ridge Wind Project,wind,state_supreme,3,"Christenson v. Crowned Ridge Wind, LLC (Supreme Court of South Dakota) - litigation over Crowned Ridge Wind Project","Christenson v. Crowned Ridge Wind, LLC",Supreme Court of South Dakota,29334,ruled_for_developer,contested_project,REC-0404,case_13ef67832d,Reviewed case record,https://law.justia.com/cases/south-dakota/supreme-court/2022/29334.html,https://law.justia.com/cases/south-dakota/supreme-court/2022/29334.html,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. 2022: PUC permit affirmed."
TX,Horse Hollow Wind Energy Center,wind,state_appellate,3,"Rankin v. FPL Energy, LLC (Texas Court of Appeals, Eleventh District (Eastland)) - litigation over Horse Hollow Wind Energy Center","Rankin v. FPL Energy, LLC","Texas Court of Appeals, Eleventh District (Eastland)",,ruled_for_developer,contested_project,REC-0435,case_11d388cd77,Reviewed case record,https://www.courtlistener.com/opinion/1665625/rankin-v-fpl-energy-llc/,https://www.courtlistener.com/opinion/1665625/rankin-v-fpl-energy-llc/,"Verified 2026-09-24 by web search: a CourtListener / Justia result names this case, court; opinion text not read. Decided 2008-08-21: no Texas nuisance claim for aesthetic impact; take-nothing judgment affirmed."
VT,Apple Hill Solar and Willow Road Solar (f/k/a Chelsea Solar),solar,state_supreme,3,In re Petition of Apple Hill Solar LLC (Vermont Supreme Court) - litigation over Apple Hill Solar and Willow Road Solar (f/k/a Chelsea Solar),In re Petition of Apple Hill Solar LLC,Vermont Supreme Court,22-AP-286,ruled_for_opposition,contested_project,REC-0440,case_7097903c21,Reviewed case record,https://law.justia.com/cases/vermont/supreme-court/2023/22-ap-286.html,https://law.justia.com/cases/vermont/supreme-court/2023/22-ap-286.html,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. 2023: denial of certificate of public good affirmed."
WV,Beech Ridge Wind Farm,wind,federal_district,3,Animal Welfare Institute v. Beech Ridge Energy LLC (U.S. District Court for the District of Maryland) - litigation over Beech Ridge Wind Farm,Animal Welfare Institute v. Beech Ridge Energy LLC,U.S. District Court for the District of Maryland,8:09-cv-01519,ruled_for_opposition,contested_project,REC-0473,case_9ab92e0161,Reviewed case record,https://dockets.justia.com/docket/maryland/mddce/8:2009cv01519/169229,https://dockets.justia.com/docket/maryland/mddce/8:2009cv01519/169229,"Verified 2026-09-24 by web search: a Justia dockets result names this case, court and docket; opinion text not read. Decided 2009-12-08: ESA injunction limiting turbine operation absent an incidental take permit."
WV,Mount Storm Wind Project,wind,state_supreme,3,"Burch v. NedPower Mount Storm, LLC (Supreme Court of Appeals of West Virginia) - litigation over Mount Storm Wind Project","Burch v. NedPower Mount Storm, LLC",Supreme Court of Appeals of West Virginia,33201,ruled_for_opposition,contested_project,REC-0474,case_c8486f4e8a,Reviewed case record,https://www.courtlistener.com/opinion/1406402/burch-v-nedpower-mount-storm-llc/,https://www.courtlistener.com/opinion/1406402/burch-v-nedpower-mount-storm-llc/,"Verified 2026-09-24 by web search: a CourtListener / courtswv.gov result names this case, court and docket; opinion text not read. Decided 2007-06-08: reversed dismissal of neighbors' nuisance claim and remanded."
WY,Pioneer Wind Parks I and II,wind,state_supreme,3,Northern Laramie Range Foundation v. Converse County Board of County Commissioners (Supreme Court of Wyoming) - litigation over Pioneer Wind Parks I and II,Northern Laramie Range Foundation v. Converse County Board of County Commissioners,Supreme Court of Wyoming,S-12-0060,ruled_for_developer,contested_project,REC-0493,case_e0f194ba78,Reviewed case record,https://law.justia.com/cases/wyoming/supreme-court/2012/s-12-0060.html,https://law.justia.com/cases/wyoming/supreme-court/2012/s-12-0060.html,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. Decided 2012-12-14: WECS permit upheld."
