state,technology,restriction_type,severity_score,description,status,jurisdiction,jurisdiction_type,date_enacted_iso,moratorium_id,source,source_url
Missouri,battery_storage,moratorium,4,"Rapid emergence of data center and battery energy storage system applications; perceived gaps in the Jackson County Unified Development Code; infrastructure, environmental, public safety, and public notice concerns. Adopted by the County Legislature (8 in favor, 1 excused) on 2026-06-22 as a 180-day moratorium on data-center and BESS land-use applications, for the purpose of developing long-term policy, County Code provisions, and enhanced public-notice requirements. Whether the measure was signed by County Executive Phil LeVota, became law without signature, or was vetoed was not independently confirmed in this pass; no veto was reported in any subsequent coverage found. Legal basis: Ordinance 6074, introduced 2026-04-06 by Legislator Sean E. Smith (120-day version); a competing 365-day version (Ordinance 6087, sponsored by Legislative Chair Manny Abarca) was also considered in committee as of 2026-06-01. The full County Legislature passed a 180-day moratorium on data-center and Battery Energy Storage System (BESS) land-use applications by an 8-1 vote (one member excused) on 2026-06-22. Per KCTV5, the ordinance then went to County Executive Phil LeVota, who had 10 days to sign or veto; no veto was reported in subsequent coverage found in this pass, but the Executive's signature was not independently confirmed, and the exact ordinance/file number of the version that received final passage (whether an amended Ordinance 6074 or a substitute) was not confirmed from a primary Legistar record, which returned an access error to automated fetch.",active,Jackson County,County,2026-06-22,mo-jackson-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Missouri,battery_storage,moratorium,4,"County study of legal authority and potential impacts of data centers, solar, wind, and battery energy storage system facilities in unincorporated Webster County. Active per primary county order. Legal basis: Order 2026-03.",active,Webster County,County,2026-06-16,mo-webster-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Missouri,solar,moratorium,4,"County study of legal authority and potential impacts of data centers, solar, wind, and battery energy storage system facilities in unincorporated Webster County. Active per primary county order. Legal basis: Order 2026-03.",active,Webster County,County,2026-06-16,mo-webster-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Missouri,wind,moratorium,4,"County study of legal authority and potential impacts of data centers, solar, wind, and battery energy storage system facilities in unincorporated Webster County. Active per primary county order. Legal basis: Order 2026-03.",active,Webster County,County,2026-06-16,mo-webster-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Nebraska,battery_storage,moratorium,4,"Adopted alongside a wave of Nebraska county moratoria addressing data centers and related utility-scale/specialized-technology development. Active as of 2026-07-31; 12-month moratorium effective 2026-07-15. Legal basis: Resolution 26-2, Board of County Commissioners.",active,Logan County,County,2026-07-15,ne-logan-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Nebraska,solar,moratorium,4,"Adopted alongside a wave of Nebraska county moratoria addressing data centers and related utility-scale/specialized-technology development. Active as of 2026-07-31; 12-month moratorium effective 2026-07-15. Legal basis: Resolution 26-2, Board of County Commissioners.",active,Logan County,County,2026-07-15,ne-logan-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Nebraska,wind,moratorium,4,"Adopted alongside a wave of Nebraska county moratoria addressing data centers and related utility-scale/specialized-technology development. Active as of 2026-07-31; 12-month moratorium effective 2026-07-15. Legal basis: Resolution 26-2, Board of County Commissioners.",active,Logan County,County,2026-07-15,ne-logan-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
North Carolina,battery_storage,moratorium,4,Pause intended to allow development of zoning standards. Active as of researched_as_of [VERIFY instrument number not confirmed at confidence 0.65 in the 2026-07 refresh]. Legal basis: City Council moratorium ordinance; ordinance number not located in reviewed sources.,active,City of Wilson,City,2026-05-21,nc-city-of-wilson-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
North Dakota,battery_storage,moratorium,4,"Need for county staff to draft permitting ordinances for data centers, solar energy, and battery facilities. Active. Legal basis: County Commission motion (no numbered resolution issued). Per the signed official March 18, 2026 minutes: ""Planning and Zoning Board would like to put a 12-month moratorium on data centers, solar energy and battery facilities. This would help the board to get the ordinances updated. Motion by Commissioner Pelton, seconded by Commissioner Kleemann to accept the moratorium as presented up to one year."" All members present (Heiser, Olson, Pelton, Dolezal, Kleemann) voted aye. Preceded by a March 10, 2026 Planning & Zoning Board recommendation to the Commission on the same terms.",active,Dunn County,County,2026-03-18,nd-dunn-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
North Dakota,solar,moratorium,4,"Need for county staff to draft permitting ordinances for data centers, solar energy, and battery facilities. Active. Legal basis: County Commission motion (no numbered resolution issued). Per the signed official March 18, 2026 minutes: ""Planning and Zoning Board would like to put a 12-month moratorium on data centers, solar energy and battery facilities. This would help the board to get the ordinances updated. Motion by Commissioner Pelton, seconded by Commissioner Kleemann to accept the moratorium as presented up to one year."" All members present (Heiser, Olson, Pelton, Dolezal, Kleemann) voted aye. Preceded by a March 10, 2026 Planning & Zoning Board recommendation to the Commission on the same terms.",active,Dunn County,County,2026-03-18,nd-dunn-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Ohio,battery_storage,moratorium,4,"Zoning board recommendation and resident concern over data centers, battery energy storage systems, and solar energy fields. Active. Legal basis: Trustee resolution reported by WLIO [CITE primary text not captured].",active,Shawnee Township,Township,2026-04-13,oh-shawnee-township-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Ohio,solar,moratorium,4,"Zoning board recommendation and resident concern over data centers, battery energy storage systems, and solar energy fields. Active. Legal basis: Trustee resolution reported by WLIO [CITE primary text not captured].",active,Shawnee Township,Township,2026-04-13,oh-shawnee-township-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Oregon,battery_storage,moratorium,4,"City sought time to study data center and battery storage impacts and develop code amendments; contemporaneous coverage described Hillsboro as the first Oregon city to adopt a data center land-use moratorium. Active as of the July 31, 2026 research date. Effective immediately upon adoption, the resolution bars submission, acceptance, processing, or approval of new land-use applications for new or expanded data centers or battery energy storage systems as primary uses. Applications already under review are not affected. Runs 120 days (to approximately 2026-11-24) absent extension or repeal, with council review required before expiration. Legal basis: Resolution No. 2932, adopted by the Hillsboro City Council at a special meeting on July 27, 2026.",active,City of Hillsboro,City,2026-07-27,or-city-of-hillsboro-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Pennsylvania,solar,moratorium,4,"Zoning ordinance lacked provisions for data centers, solar energy, and wind energy. Active as of 2026-07-31; 180-day curative-amendment period from 2026-06-08. No data center application was pending at adoption. Legal basis: Township Council resolution, Municipal Curative Amendment (Pennsylvania Municipalities Planning Code Section 609.2).",active,Bensalem Township,Township,2026-06-08,pa-bensalem-township-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Pennsylvania,wind,moratorium,4,"Zoning ordinance lacked provisions for data centers, solar energy, and wind energy. Active as of 2026-07-31; 180-day curative-amendment period from 2026-06-08. No data center application was pending at adoption. Legal basis: Township Council resolution, Municipal Curative Amendment (Pennsylvania Municipalities Planning Code Section 609.2).",active,Bensalem Township,Township,2026-06-08,pa-bensalem-township-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Tennessee,battery_storage,moratorium,4,"Hearing on proposed data center, cryptocurrency, and battery-storage zoning safeguards. Active as of researched_as_of per news reporting [VERIFY instrument number not confirmed at confidence 0.55 in the 2026-07 refresh]. Legal basis: County Commission moratorium on future data centers; the adopted instrument was not located in the county's online materials.",active,Anderson County,County,2026-06-15,tn-anderson-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Texas,battery_storage,moratorium,2,"Comprehensive health and safety review of AI data centers and battery energy storage systems. Reported adopted per Wharton Post and Austin County News Online; the county website provided only the hearing notice and an unsigned draft order as of 2026-07-31 [VERIFY instrument number; primary source (news-only evidence) not confirmed at confidence 0.5 in the 2026-07 refresh]. Legal basis: Reportedly a countywide temporary pause on new AI data centers and battery energy storage systems, suspending county permits, plan reviews, inspections, and related approvals in unincorporated areas, with limited exemptions; no signed July 27 order or minutes were located as of 2026-07-31, only the hearing notice and an unsigned draft order.",pending,Austin County,County,2026-07-27,tx-austin-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Utah,solar,moratorium,4,"Adopted while the county develops updated data center and solar power plant regulations. Active as of 2026-07-31; 180-day pause from 2026-05-26. This is distinct from the Antelope Data Center conditional-use permit the Planning Commission approved on 2026-06-04, which county staff say was deemed complete before the moratorium took effect and so was not blocked by it. Legal basis: Ordinance 2026-13, Iron County Commission.",active,Iron County,County,2026-05-26,ut-iron-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
Wisconsin,battery_storage,moratorium,4,"Pause on development of data centers and battery energy storage systems in unincorporated Door County to allow investigation, planning, and regulation of potential impacts; Board may extend by separate action. Active as of 2026-07-31. [VERIFY details not confirmed at confidence 0.65 in the 2026-07 refresh]. Legal basis: Resolution 2026-41 (Door County Board of Supervisors).",active,Door County,County,2026-05-26,wi-door-county-2026,"Moratorium Nation (mjbommar/moratorium-data-2026), CC-BY-4.0",https://github.com/mjbommar/moratorium-data-2026/blob/main/data/moratorium_inventory.csv
