id,state,project_name,technology,severity_score,description,outcome,finality_evidence,status,has_litigation,opposition_type,county,municipality,event_date_text,capacity_mw,area_acres,long_description,source_record_id,source,source_url,notes,id,source_id
con_27bceb8c04,CA,Aramis Solar Project,solar,3,"Local groups opposed two solar projects, leading to legal challenges and appeals.",needs_review,none,in_force,yes,"organized_group, local_residents",Alameda,,2020,,"410 acres (Aramis), 70 acres (Sunwalker)","Opponents of two North Livermore Valley solar projects, Aramis (410 acres) and Sunwalker (70 acres), led by a group called Save North Livermore Valley, argued that the proposed locations of the projects impinge on agriculture, natural wildlife habitat, open space, and visual and scenic resources. In October 2020, two candidates running for election to the Alameda County Board of Supervisors issued a joint statement urging the board to place a moratorium on solar development on agricultural land. After the East County Board of Zoning Adjustments approved both projects, local groups stated appealed both decisions. By December 2020, three local organizations had filed appeals challenging the approval of the Aramis project. In May 2022, the Alameda County Superior Court upheld the county’s approval of the Aramis project, dismissing a lawsuit by project opponents. In July 2023, Save North Livermore Valley appealed the Superior Court’s decision. California’s First District Court of Appeals denied the appeal in August 2023.",REC-0024,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_27bceb8c04,src_90d5b39d9a09
con_92e4cd9736,CA,Aratina Solar Center,solar;battery_storage,3,Local community members opposed the Aratina Solar Center project due to wildlife and Joshua Tree concerns.,needs_review,none,in_force,yes,organized_group,Kern,,2021,"530 MW solar, 600 MW storage","4,070 acres (Blythe Mesa Solar Power Project)","In October 2021, the Kern County Board of Supervisors unanimously approved the Aratina Solar Center, a solar-plus-storage project including 530 MW of solar capacity and 600 MW of battery energy storage capacity. Shortly thereafter, local community members organized a petition that received 51,000 signatures. A primary concern driving local opposition to the project is the potential impact on local wildlife and on Joshua Trees. In compliance with the California Western Joshua Tree Conservation Act, the developer received an Incidental Take Permit, which authorized the developer to remove trees with an option to pay a standard mitigation fee rather than complete mitigation fee.",REC-0025,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_92e4cd9736,src_90d5b39d9a09
con_c66fdc886b,CA,Blythe Mesa Solar Power Project,solar,3,The Blythe Mesa Solar Power Project faced legal challenges over government-to-government consultation.,needs_review,none,in_force,yes,,Riverside,,2014,465 MW,"4,070 acres (Blythe Mesa Solar Power Project)","The Blythe Mesa Solar Power Project is a 465-MW solar farm built between 2010 and 2020 over 4,070 acres of BLM land by the developer NextEra. The Colorado River Indian Tribe (CRIT) sued the Department of Interior in 2014 in the U.S. District Court for the Central District of California, claiming that BLM’s lack of government-to-government consultation violated the NHPA; the lawsuit also included claims under NEPA and the Federal Land Policy and Management Act. The District Court granted summary judgment in favor of the Department of Interior in July 2015.",REC-0026,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_c66fdc886b,src_90d5b39d9a09
con_3e3b105008,CA,Boulder Brush Project,wind;transmission,3,"Residents challenged the Boulder Brush Project, alleging violations of environmental laws.",needs_review,none,in_force,yes,"organized_group, local_residents",San Diego,,2021,,320 acres (Boulder Brush Project),"The Boulder Brush Project is a 320-acre substation and transmission line proposed by Terra-Gen, which would connect to the 60-turbine Campo Wind Project planned for the Campo Indian Reservation. In March 2021, the San Diego County Board of Supervisors unanimously approved the project. Residents consequently formed an organization called Backcountry Against Dumps to challenge the decision. In April 2021, the organization filed a lawsuit claiming that the project violated the California Environmental Quality Act and various planning and zoning regulations. The lawsuit contended that the County’s environmental review of the project did not fully analyze the risks to wildlife and groundwater and the effects of noise disruptions. In March 2024, the Fourth District Court of Appeal vacated the San Diego Superior Court’s dismissal of the lawsuit, instructing the trial court to allow the case to proceed.",REC-0027,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_3e3b105008,src_90d5b39d9a09
con_ae1193ea01,CA,BW-IDEOL Offshore Wind Project,wind,3,Local conservation groups and the Northern Chumash Tribe opposed the proposed offshore wind project.,needs_review,none,in_force,yes,"organized_group, local_residents",Santa Barbara,,2022,40 MW,,"In 2022, local conservation groups and members of the Northern Chumash Tribe mobilized to oppose the proposed 40-MW BW-IDEOL Vandenberg Space Force Base Pilot offshore wind project off the coast of Santa Barbara County, which would have consisted of four floating turbines. The project site is in an area the Northern Chumash Tribe have sought to designate as",REC-0028,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_ae1193ea01,src_90d5b39d9a09
con_b4dc027582,CT,Denslow Hill Road Solar Project,solar,3,Developer appealed Connecticut Siting Council’s rejection of 1.5-MW solar project citing tree removal concerns.,pending,none,pending,yes,litigation,New Haven,,2024-08,1.5,7.9,"In August 2024, the Connecticut Siting Council unanimously rejected a plan for a 1.5-MW solar project on Denslow Hill Road in New Haven County, citing concerns over the developer’s plans to remove about 7.9 acres of trees. In September 2024, the developer filed an appeal to the decision.",REC-0038,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_b4dc027582,src_90d5b39d9a09
con_6ed1a05d09,CT,Ellington Airport Solar Project,solar,3,Residents challenged Connecticut Siting Council’s approval of 4-MW solar facility citing aviation safety concerns.,pending,none,pending,yes,litigation,Tolland,,2024-08,4,,"In August 2024, the Connecticut Siting Council denied a petition to build a 4-MW solar facility in Ellington Airport due to uncertainty about its effects on air navigation and aviation safety. Residents cited concerns about potential impacts of a solar facility on a local parachuting landing site near the proposed solar site.",REC-0039,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_6ed1a05d09,src_90d5b39d9a09
con_c53c33eb15,CT,Fairfield to Congress Railroad Transmission Line,transmission,3,City of Bridgeport appealed Connecticut Siting Council’s approval of transmission line project citing evidence against it.,pending,none,pending,yes,litigation,Fairfield,,2024-08,,,"The Fairfield to Congress Railroad Transmission Line project proposes to replace transmission lines along the railroad corridor, with the goal of improving reliability and resilience in the regional electric grid. After the Connecticut Siting Council approved the project, the City of Bridgeport filed an appeal of the decision, citing ‘reliable, prohibitive, and substantial evidence introduced opposing the project.’",REC-0040,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_c53c33eb15,src_90d5b39d9a09
con_f1fc80a098,CT,TRITEC America’s Carter Street Solar Project,solar,3,Connecticut Siting Council rejected 0.999-MW solar facility citing environmental and residential concerns.,pending,none,pending,yes,litigation,Hartford,,2024-10,0.999,7.8,"In October 2024, the Connecticut Siting Council unanimously rejected an application for a 0.999-MW solar facility in Manchester on Carter Street. The project would have been sited on 7.8 acres of forested land in an area zoned for rural residential development. Local opponents raised concerns about the environmental impact of cutting down trees and the project’s proximity to houses.",REC-0041,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_f1fc80a098,src_90d5b39d9a09
con_96ea3bcabe,DE,Cedar Creek Solar,solar,3,A lawsuit was filed to challenge the approval of a 100-MW solar project on agricultural land.,pending,none,pending,yes,"litigation, local_residents, organized_group, environmental_group",Kent County,,March 2022,100 MW,,"In March 2022, a landowner and a group called Citizens Against Solar Pollution filed a lawsuit in Delaware Chancery Court challenging Kent County’s approval of the proposed 100-MW Cedar Creek Solar project. The lawsuit alleged environmental damage, reduced property values, disruption to rural character, and threats to historical artifacts.",REC-0044,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_96ea3bcabe,src_90d5b39d9a09
con_0f3c1beb52,DE,Frankford Solar,solar,4,Frankford Town Council denied a solar farm application due to non-compliance with the town’s 2020 Comprehensive Plan.,blocked_unverified,outcome_label_only,cancelled,no,local_residents,Sussex County,Frankford Town Council,May 2024,,44 acres,"In May 2024, the Frankford Town Council voted to deny an application for a 44-acre solar farm proposed by Dukes Farm Limited Partnership. The decision came after a public meeting where local residents expressed reservations about the project. The denial was based on the application not meeting certain criteria in the town’s 2020 Comprehensive Plan, such as maintaining a small-town feel.",REC-0045,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_0f3c1beb52,src_90d5b39d9a09
con_0fec93e3ad,DE,Skipjack Wind Farm Interconnection Facility in Fenwick State Park,wind,4,The Skipjack Wind Farm abandoned plans to connect to the grid at Fenwick Island State Park due to opposition.,blocked_unverified,outcome_label_only,cancelled,,"environmental_group, local_residents",Sussex County,,2020,,,"The proposed offshore wind project, Skipjack Wind Farm, was originally planned to connect to the grid at a facility in Delaware’s Fenwick Island State Park. The plan received pushback from the Delaware Chapter of the Surfrider Foundation, who argued that installing transmission infrastructure in a state park was contrary to the mission of the Delaware Division of Parks and Recreation. In 2020, the developer abandoned plans to site the interconnection facility at Fenwick Island State Park.",REC-0046,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_0fec93e3ad,src_90d5b39d9a09
con_074d1ff07c,DE,University of Delaware Wind Turbine,wind,4,A lawsuit was filed to halt the operation of a wind turbine used for research by the University of Delaware.,blocked_unverified,outcome_label_only,cancelled,yes,"litigation, local_residents",Sussex County,Lewes,2015-2016,,,"A Lewes resident filed two lawsuits in state and federal court to halt the operation of a wind turbine used for research by the University of Delaware, arguing that backroom dealings led to an expedited approval process. The federal lawsuit was dismissed in January 2015. In the state lawsuit, the Delaware Court of Chancery granted summary judgment against the plaintiff on multiple claims in December 2015, which the Delaware Supreme Court affirmed in August 2016.",REC-0047,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_074d1ff07c,src_90d5b39d9a09
con_540a4e1574,DE,US Wind Substation Project in Dagsboro,wind,4,Sussex County Council denied a conditional use permit for an offshore wind substation project.,blocked_unverified,outcome_label_only,cancelled,yes,"litigation, local_residents",Sussex County,,December 2024,,,The Sussex County Council denied a conditional use permit that would allow US Wind to build a substation in Dagsboro to support its offshore wind project. The offshore wind project consists of 121 wind turbines and up to four offshore substations. The council cited lack of direct benefits to the residents of Sussex County among the reasons for denial.,REC-0048,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_540a4e1574,src_90d5b39d9a09
con_313907c79f,FL,Archer Solar Project,solar,1,The Archer Solar Project faced opposition from the historically Black community and was denied a permit in October 2020.,advanced_unverified,outcome_label_only,approved_after_opposition,,"local_residents, organized_group",Alachua County,,October 2020,75 MW,643 acres,"In October 2020, Alachua County commissioners voted to deny a permit for the proposed 75-MW, 643-acre solar project by First Solar and Duke Energy. The denial was based on concerns about community outreach and impacts on property values in the historically Black community where the project was to be located.",REC-0052,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_313907c79f,src_90d5b39d9a09
con_dbf3969a3f,FL,Sand Bluff Solar Project,solar,1,"The Sand Bluff Solar Project faced opposition from the NAACP and Sierra Club, but was ultimately denied a permit in July 2021.",advanced_unverified,outcome_label_only,approved_after_opposition,,"organized_group, local_residents",Alachua County,,July 2021,,600 acres,"In July 2021, Alachua County commissioners voted to disallow the proposed Sand Bluff Solar Project on 600 acres outside of Archer, Florida. Opposition against the project centered on lack of outreach to the historically Black community in which it was to be sited. The local chapters of the NAACP and Sierra Club opposed the project, while the Climate Reality Project and the local chapter of the League of Women Voters supported it.",REC-0053,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_dbf3969a3f,src_90d5b39d9a09
con_3bdea3bf87,GA,Cubico Solar Farm,solar,4,The Macon-Bibb Planning and Zoning Commission rejected Cubico Sustainable Investments' plan for a 780-MW solar farm.,blocked_unverified,outcome_label_only,cancelled,,"local_residents, organized_group",Bibb County,,"May 23, 2022",780 MW,,"On May 23, 2022, the Macon-Bibb Planning and Zoning Commission in Georgia unanimously rejected Cubico Sustainable Investments’ plan for a 780-MW solar farm. The rejection was based on concerns about harm to wildlife, damage to roads, and potential declining property values. Opponents collected 400 signatures against the project.",REC-0062,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_3bdea3bf87,src_90d5b39d9a09
con_a5d57edc8f,GA,SA Solar Farm,solar,2,The Sumter County Planning & Zoning Board recommended denying a conditional use permit for SA Solar’s proposed solar farm.,pending,none,pending,,"organized_group, local_residents",Sumter County,,"November 2023, December 2023",,,"In November 2023, the Sumter County Planning & Zoning Board in Georgia recommended that the county Board of Commissioners deny a conditional use permit for SA Solar’s proposed solar farm. The recommendation was set aside by the Board of Commissioners in December 2023 and a conditional use permit was granted.",REC-0063,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_a5d57edc8f,src_90d5b39d9a09
con_600b80a1c1,GA,Silicon Ranch’s Kathleen Solar Project,solar,4,Houston County Commissioners denied a permit for Silicon Ranch to construct a solar farm near the Oaky Woods Wildlife Management Area.,blocked_unverified,outcome_label_only,cancelled,,"environmental_group, local_residents",Houston County,,"September 3, 2024","4,700 acres",,"On September 3, 2024, the Houston County Commissioners in Georgia voted to deny a permit to developer Silicon Ranch to construct a 4,700-acre solar farm in Kathleen. The proposal faced opposition from local naturalists due to its proximity to the Oaky Woods Wildlife Management Area, which hosts a regionally significant population of black bears.",REC-0064,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_600b80a1c1,src_90d5b39d9a09
con_8e748ebb88,GA,SR Robins Solar Farm,solar,4,"The Houston County Board of Commissioners denied an application for a 4,700-acre solar farm due to concerns about quality of living and wildlife habitat.",blocked_unverified,outcome_label_only,cancelled,,"local_residents, organized_group",Houston County,,August 2024,"4,700 acres",,"The Houston County Board of Commissioners in Georgia unanimously denied an application for a 4,700-acre project. Among the reasons for denial were concerns about the quality of living, property values, and wildlife habitat, particularly bear habitat. At the Board of Zoning Appeals meeting, there was strong opposition from residents.",REC-0065,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_8e748ebb88,src_90d5b39d9a09
con_6a28910852,HI,Kahuku Na Pua Makani Wind Project,wind,3,Local opposition led to a reduction in the scope of the wind project and legal challenges over species protection.,advanced_confirmed,court_ruling: Keep the North Shore Country v. Board of Land and Natural Resources,approved_after_opposition,yes,"litigation, organized_group, local_residents",Honolulu County,,2016-2022,24 MW reduced to 8 turbines,,"The Kahuku Na Pua Makani Wind Project, initially planned for 13-15 turbines, was reduced to 8 turbines due to local opposition. Legal challenges included a contested case hearing petition by Keep the North Shore Country in 2016 and an appeal of the Board of Land and Natural Resources' decision in 2019. The state Circuit Court upheld the decision in May 2019, and the Supreme Court of Hawaii affirmed it in February 2022.",REC-0067,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_6a28910852,src_90d5b39d9a09
con_3f3a4cc8ad,HI,Kawailoa Wind Farm,wind,3,Legal challenges and a settlement led to enhanced research plans for the wind farm project.,advanced_unverified,outcome_label_only,approved_after_opposition,yes,"litigation, organized_group",Honolulu County,,2018-2021,69 MW,,"The Kawailoa Wind Farm sought to amend its Habitat Conservation Plan (HCP) and Incidental Take License (ITL) in 2018. In 2019, the state Board of Land and Natural Resources approved the amendments. Environmental group Keep the North Shore Country challenged the amendments as inadequate for wildlife protection. A settlement was reached in January 2021, with Kawailoa agreeing to fund an enhanced research plan.",REC-0068,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_3f3a4cc8ad,src_90d5b39d9a09
con_6ceb6b0fd3,HI,Paeahu Solar (Maui Meadows),solar,4,Environmental and resident opposition led to the cancellation of a solar farm project.,blocked_unverified,outcome_label_only,cancelled,,"environmental_group, local_residents",Maui County,,November 2023,15 MW,,"In November 2023, Innergex Energy cancelled development of a 15-MW solar farm planned for Maui Meadows in South Maui. The project faced opposition from environmentalists and residents due to concerns about water pollution, flooding, wildfire risks, and loss of open, scenic land.",REC-0069,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_6ceb6b0fd3,src_90d5b39d9a09
con_6a4ce30639,IL,Alexis Solar Project,solar,4,"Residents of Mercer County opposed a proposed solar farm, leading to the denial of a conditional use permit.",blocked_unverified,outcome_label_only,cancelled,,local_residents,Mercer County,,,,380,"Mercer County residents have expressed opposition to a 380-acre solar farm that Birch Creek Energy has proposed for Alexis, Illinois. At an October 2023 meeting with the Mercer County Zoning Board, some residents expressed concerns about loss of farmland. Local opposition also focused on concerns about noise and environmental impacts, including impacts to endangered species. The Mercer County Zoning Board denied Birch Creek’s conditional use permit application in November 2023.",REC-0084,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_6a4ce30639,src_90d5b39d9a09
