state,project_name,technology,source_record_id,linked_entity,outcome,opposition_type,event_date_text,litigation_context,case_name,court,court_level,docket_number,case_status,case_source_url,severity_score,review_status,reviewer_notes
CA,Blythe Mesa Solar Power Project,solar,REC-0026,contested_project,needs_review,,2014,"The Blythe Mesa Solar Power Project is a 465-MW solar farm built between 2010 and 2020 over 4,070 acres of BLM land by the developer NextEra. The Colorado River Indian Tribe (CRIT) sued the Department of Interior in 2014 in the U.S. District Court for the Central District of California, claiming that BLM’s lack of government-to-government consultation violated the NHPA; the lawsuit also included claims under NEPA and the Federal Land Policy and Management Act. The District Court granted summary judgment in favor of the Department of Interior in July 2015.",,,,,,,,needs_docket_research,
CA,Boulder Brush Project,wind;transmission,REC-0027,contested_project,needs_review,"organized_group, local_residents",2021,"The Boulder Brush Project is a 320-acre substation and transmission line proposed by Terra-Gen, which would connect to the 60-turbine Campo Wind Project planned for the Campo Indian Reservation. In March 2021, the San Diego County Board of Supervisors unanimously approved the project. Residents consequently formed an organization called Backcountry Against Dumps to challenge the decision. In April 2021, the organization filed a lawsuit claiming that the project violated the California Environmental Quality Act and various planning and zoning regulations. The lawsuit contended that the County’s environmental review of the project did not fully analyze the risks to wildlife and groundwater and the effects of noise disruptions. In March 2024, the Fourth District Court of Appeal vacated the San Diego Superior Court’s dismissal of the lawsuit, instructing the trial court to allow the case to proceed.",Backcountry Against Dumps v. Bureau of Indian Affairs,U.S. District Court for the Southern District of California,federal_district,3:20-cv-02343,dismissed,https://law.justia.com/cases/federal/district-courts/california/casdce/3:2020cv02343/694320/74/,,promoted,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. Dismissed under Rule 19 (tribe a required party); affirmed by the Ninth Circuit."
CA,BW-IDEOL Offshore Wind Project,wind,REC-0028,contested_project,needs_review,"organized_group, local_residents",2022,"In 2022, local conservation groups and members of the Northern Chumash Tribe mobilized to oppose the proposed 40-MW BW-IDEOL Vandenberg Space Force Base Pilot offshore wind project off the coast of Santa Barbara County, which would have consisted of four floating turbines. The project site is in an area the Northern Chumash Tribe have sought to designate as",,,,,,,,needs_docket_research,
CT,Denslow Hill Road Solar Project,solar,REC-0038,contested_project,pending,litigation,2024-08,"In August 2024, the Connecticut Siting Council unanimously rejected a plan for a 1.5-MW solar project on Denslow Hill Road in New Haven County, citing concerns over the developer’s plans to remove about 7.9 acres of trees. In September 2024, the developer filed an appeal to the decision.",,,,,,,,needs_docket_research,
CT,Ellington Airport Solar Project,solar,REC-0039,contested_project,pending,litigation,2024-08,"In August 2024, the Connecticut Siting Council denied a petition to build a 4-MW solar facility in Ellington Airport due to uncertainty about its effects on air navigation and aviation safety. Residents cited concerns about potential impacts of a solar facility on a local parachuting landing site near the proposed solar site.",,,,,,,,needs_docket_research,
CT,Fairfield to Congress Railroad Transmission Line,transmission,REC-0040,contested_project,pending,litigation,2024-08,"The Fairfield to Congress Railroad Transmission Line project proposes to replace transmission lines along the railroad corridor, with the goal of improving reliability and resilience in the regional electric grid. After the Connecticut Siting Council approved the project, the City of Bridgeport filed an appeal of the decision, citing ‘reliable, prohibitive, and substantial evidence introduced opposing the project.’",,,,,,,,needs_docket_research,
CT,TRITEC America’s Carter Street Solar Project,solar,REC-0041,contested_project,pending,litigation,2024-10,"In October 2024, the Connecticut Siting Council unanimously rejected an application for a 0.999-MW solar facility in Manchester on Carter Street. The project would have been sited on 7.8 acres of forested land in an area zoned for rural residential development. Local opponents raised concerns about the environmental impact of cutting down trees and the project’s proximity to houses.",,,,,,,,needs_docket_research,
DE,Cedar Creek Solar,solar,REC-0044,contested_project,pending,"litigation, local_residents, organized_group, environmental_group",March 2022,"In March 2022, a landowner and a group called Citizens Against Solar Pollution filed a lawsuit in Delaware Chancery Court challenging Kent County’s approval of the proposed 100-MW Cedar Creek Solar project. The lawsuit alleged environmental damage, reduced property values, disruption to rural character, and threats to historical artifacts.",Citizens Against Solar Pollution v. Kent County,Delaware Court of Chancery,state_trial,2022-0287-NAC,dismissed,https://law.justia.com/cases/delaware/court-of-chancery/2023/2022-0287-nac.html,,promoted,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. 2023: dismissed for lack of jurisdiction with leave to transfer to Superior Court."
DE,Cedar Creek Solar,solar,REC-0044,contested_project,pending,"litigation, local_residents, organized_group, environmental_group",March 2022,"In March 2022, a landowner and a group called Citizens Against Solar Pollution filed a lawsuit in Delaware Chancery Court challenging Kent County’s approval of the proposed 100-MW Cedar Creek Solar project. The lawsuit alleged environmental damage, reduced property values, disruption to rural character, and threats to historical artifacts.",Citizens Against Solar Pollution v. Kent County,Delaware Superior Court,state_trial,N23C-03-196 VLM,,https://law.justia.com/cases/delaware/superior-court/2024/n23c-03-196-vlm.html,,promoted,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. Transferred case; 2023 and 2024 decisions; later appealed to the Delaware Supreme Court (Kent County v. Citizens Against Solar Pollution). Outcome not captured."
DE,University of Delaware Wind Turbine,wind,REC-0047,contested_project,blocked_unverified,"litigation, local_residents",2015-2016,"A Lewes resident filed two lawsuits in state and federal court to halt the operation of a wind turbine used for research by the University of Delaware, arguing that backroom dealings led to an expedited approval process. The federal lawsuit was dismissed in January 2015. In the state lawsuit, the Delaware Court of Chancery granted summary judgment against the plaintiff on multiple claims in December 2015, which the Delaware Supreme Court affirmed in August 2016.",,Delaware Court of Chancery,state_trial,7939-VCG,,,,lead,Lead from web search 2026-09-24 (not confirmed): Gerald Lechliter's federal suit (D. Del.) dismissed January 2013 by Judge Sleet; a Court of Chancery case C.A. No. 7939-VCG followed (2015 opinion on Justia).
DE,US Wind Substation Project in Dagsboro,wind,REC-0048,contested_project,blocked_unverified,"litigation, local_residents",December 2024,The Sussex County Council denied a conditional use permit that would allow US Wind to build a substation in Dagsboro to support its offshore wind project. The offshore wind project consists of 121 wind turbines and up to four offshore substations. The council cited lack of direct benefits to the residents of Sussex County among the reasons for denial.,,Delaware Court of Chancery,state_trial,,,,,lead,Lead from web search 2026-09-24 (not confirmed): Sussex County and Fenwick Island challenged the state and US Wind in the Court of Chancery; Chancery granted summary judgment for defendants (2026) and the Delaware Supreme Court affirmed. Caption not found.
HI,Kahuku Na Pua Makani Wind Project,wind,REC-0067,contested_project,advanced_confirmed,"litigation, organized_group, local_residents",2016-2022,"The Kahuku Na Pua Makani Wind Project, initially planned for 13-15 turbines, was reduced to 8 turbines due to local opposition. Legal challenges included a contested case hearing petition by Keep the North Shore Country in 2016 and an appeal of the Board of Land and Natural Resources' decision in 2019. The state Circuit Court upheld the decision in May 2019, and the Supreme Court of Hawaii affirmed it in February 2022.",Keep the North Shore Country v. Board of Land and Natural Resources,Supreme Court of Hawai'i,state_supreme,SCAP-19-0000449,ruled_for_developer,https://case-law.vlex.com/vid/keep-the-n-shore-907372581,,promoted,"Verified 2026-09-24 by web search: a vLex / DLNR result names this case, court and docket; opinion text not read. Decided 2022-02-22: habitat conservation plan approval upheld."
HI,Kawailoa Wind Farm,wind,REC-0068,contested_project,advanced_unverified,"litigation, organized_group",2018-2021,"The Kawailoa Wind Farm sought to amend its Habitat Conservation Plan (HCP) and Incidental Take License (ITL) in 2018. In 2019, the state Board of Land and Natural Resources approved the amendments. Environmental group Keep the North Shore Country challenged the amendments as inadequate for wildlife protection. A settlement was reached in January 2021, with Kawailoa agreeing to fund an enhanced research plan.",,,,,,,,needs_docket_research,
IL,Alta Wind Farm,wind,REC-0085,contested_project,advanced_confirmed,"litigation, local_residents",,"The 200-MW Alta Wind Farm was approved in July 2020 by the DeWitt County Board despite local opposition. The project had been proposed nearly 10 years before. In October 2020, opponents filed two separate lawsuits to stop the project but dropped both of those lawsuits in March 2021. In July 2021, the DeWitt County Board approved a motion preventing the issuance of new building permits to Enel Green Power for the Alta Wind Farm until the company could prove that its turbines could be curtailed during severe weather events. An Illinois judge then issued a mandamus order holding that the Dewitt County Board lacked legal authority to halt the issuance of building permits. The wind farm proceeded to operation in June 2023.",Alta Farms Wind Project II v. DeWitt County,"Illinois Circuit Court, Sixth Judicial Circuit (DeWitt County)",state_trial,,ruled_for_developer,https://pantagraph.com/alta-farms-wind-project-ii-v-dewitt-county-et-al/pdf_503e14df-53ac-584d-90e6-e79a9a01622c.html,,promoted,"Verified 2026-09-24 by web search: a Pantagraph (complaint PDF) / news result names this case, court; opinion text not read. 2021: board lacked authority to suspend the project's building permits. Residents' and the Village of Wapella's suits against the approval are not recorded here."
KY,Geenex Solar Project,solar,REC-0145,contested_project,blocked_unverified,"organized_group, local_residents",2021-08,"In August 2021, amidst Geenex Solar’s early planning of a large-scale solar project in Clark County, the Clark County Fiscal Court denied two ordinances that would have expanded the places solar farms could be zoned in the county. The Clark CoaliDon, an anti-solar community group, celebrated the decision as a victory.",,,,,,,,needs_docket_research,
KY,Hardin Solar LLC Project,solar,REC-0146,contested_project,blocked_unverified,"local_residents, organized_group",2022-01,"In January 2022, the Hardin County Planning Commission denied a conditional use permit for Hardin Solar LLC. Almost 200 Hardin County residents attended the commission meeting, many of them belonging to Hardin County CiDzens for Responsible Solar. This group is opposed to industrial solar projects and has claimed credit for the denial of Hardin Solar’s permit.",,,,,,,,needs_docket_research,
KY,Savion’s Mercer County Solar Farm,solar,REC-0149,contested_project,blocked_unverified,"organized_group, local_residents",2020-10,"In October 2020, the Mercer County Fiscal Court denied approval for a 1,200-acre solar project proposed by Savion, overriding the recommendaDon of the county’s planning and zoning commission. Opponents organized against the project on a Facebook group called “Preserve Mercer County Farm Land” and spoke at a public meeting in August 2020.",,,,,,,,needs_docket_research,
KY,Stonefield Solar Project,solar,REC-0150,contested_project,pending,"local_residents, organized_group",2023-05,"In May 2023, the Hardin County Commission denied a request by participating landowners to change the zoning of 1,030 acres from rural residential to industrial to allow for the development of the Stonfield Solar Project. The Harden Fiscal Court eventually approved the zoning change in July 2023. Later that month, a citizen’s group called Hardin County Citizens for Responsible Solar filed a lawsuit challenging the permitting of the solar project in a heavy industrial zone, arguing that the project does not qualify as manufacturing and is at odds with the Hardin County Comprehensive Plan.",,,,,,,,needs_docket_research,
LA,Cajun Crescent Energy Center,solar,REC-0154,contested_project,pending,"local_residents, organized_group","September 2021 - November 19, 2024","In September 2021, local residents of Southeast Calcasieu Parish filed a lawsuit against the parish zoning board and police jury to contest the approval of a 3,400-acre solar farm that would generate 300 to 400 MW. Opponents of the project stated that they have not received sufficient guarantees as to human health and safety, as well as impacts on birds and other wildlife. On November 19, 2024, the Calcasieu Planning and Zoning Board rejected a zoning exception necessary for construction to proceed.",,,,,,,,needs_docket_research,
LA,St. James Parish moratorium,solar,REC-0152,restriction,,,"August 17, 2022","On August 17, 2022, the St. James Parish Council approved a moratorium through March 2023 on commercial solar farms. The moratorium was imposed shortly after D.E. Shaw Renewable Investments submitted a proposal to build a solar farm on 3,900 acres in the parish, which the planning commission rejected. Local residents advocating for the moratorium expressed concerns about visual impacts.",,,,,,,,needs_docket_research,
MA,"1,200-MW offshore wind farm",wind,REC-0194,contested_project,blocked_unverified,litigation,"December 2022, October 2023","In December 2022, developer Avangrid requested to terminate power purchase agreements for the Commonwealth Wind project. The agreements were formally terminated in October 2023. In response, the Barnstable Town Council unanimously voted to withdraw authorization for negotiation of a host community agreement for the project. The town manager expressed reservations about the draft environmental impact report.",,,,,,,,needs_docket_research,
MA,454-MW offshore wind farm,wind,REC-0193,contested_project,blocked_confirmed,"organized_group, local_residents, state_political",2017,"In 2017, the developer of Cape Wind, a proposed 454-MW offshore wind farm, abandoned the project after spending $100 million of his own money. The project faced opposition from groups such as the Alliance to Protect Nantucket Sound, fishing groups, and Native American tribes. Legal challenges delayed the project, leading two utilities to cancel their contracts with Cape Wind in 2015.",Public Employees for Environmental Responsibility v. Hopper,U.S. Court of Appeals for the D.C. Circuit,federal_appellate,14-5301,ruled_for_opposition,https://www.courtlistener.com/opinion/3219842/public-employees-for-environmental-responsibility-v-hopper/,,promoted,"Verified 2026-09-24 by web search: a CourtListener / govinfo result names this case, court and docket; opinion text not read. Decided 2016-07-05: Cape Wind EIS held inadequate (geological surveys)."
MA,SunEdison 2.4-MW solar array on a capped town landfill,solar,REC-0190,contested_project,blocked_unverified,,"February 2012, July 2016","In 2011, the Town of Amherst selected SunEdison to build a 2.4-MW solar array on a capped town landfill. Citizens filed a lawsuit against town officials in response, alleging that they violated an agreement with the state requiring the site be used for recreational purposes. The lawsuit became moot when the state legislature passed a bill allowing all capped municipal landfills to serve as sites for solar projects. In April 2012, plaintiffs amended the lawsuit to include potential impacts on grasshopper sparrow habitat. The lawsuit was dismissed without prejudice in December 2015 and terminated by town officials in July 2016.",,,,,,,,needs_docket_research,
MA,Town of Shutesbury ban,solar,REC-0189,restriction,,,"May 2008, June 2021","Shutesbury’s solar bylaw, adopted in May 2008 and amended in June 2021, prohibited solar plants larger than fifteen acres. In January 2023, residents voted to adopt a revised town bylaw for solar arrays that would have banned energy storage systems as a principal use in all zoning districts and limited large-scale solar installations (1.5-15 acres) to special use in Forest Conservation Districts. The Massachusetts Attorney General’s office disapproved of the January 2023 bylaw, resulting in the pre-2023 bylaw regaining legal effect. A lawsuit filed by developer PureSky Energy challenged the town's solar regulations.",,Massachusetts Land Court,state_trial,,withdrawn,,,lead,Lead from web search 2026-09-24 (not confirmed): W.D. Cowls Inc. and PureSky Energy sued the Town of Shutesbury in Massachusetts Land Court (2023); dismissed by agreement 2025-08-14 (Greenfield Recorder).
MD,Chaberton Energy Sugarloaf Solar Project,solar,REC-0178,contested_project,pending,"local_residents, organized_group",2024-09,"Chaberton Energy filed an application for a 4-MW community solar project in Montgomery County’s Agricultural Reserve zone. The Planning Board opposed the project, citing conflicts with local zoning requirements and received over 140 letters and emails from residents opposing it.",,,,,,,,needs_docket_research,
MD,Chaberton Snow Solar Project,solar,REC-0179,contested_project,pending,"litigation, organized_group",2024-05,"The Worcester County Commissioners rescinded their previous denial of a 30-acre, 4-MW solar farm proposal by Chaberton Snow Solar LLC. The rescission followed an administrative hearing and appeal to the Worcester County Circuit Court in December 2023.",,,,,,,,needs_docket_research,
MD,Dan’s Mountain Wind Farm,wind,REC-0180,contested_project,pending,"local_residents, organized_group",2019-08,"The proposed 17-turbine Dan’s Mountain Wind Farm in Allegany County has faced opposition from local residents who formed the Allegany Neighbors and Citizens for Home Owners Rights (ANCHOR) group. The project was challenged legally by ANCHOR, and the Court of Special Appeals upheld the approval.",,,,,,,,lead,"Lead from web search 2026-09-24 (not confirmed): Dan's Mountain Wind Force, LLC v. Jennifer Shaw, et al. (Maryland Daily Record, 2022-04-22); circuit court earlier upheld the county's denial. Court for the 2022 decision not confirmed."
MI,Southwest Michigan Solar Project,solar,REC-0210,contested_project,pending,litigation,August 2023,"In August 2023, Southwest Michigan Solar Project sued Decatur Township after voters in a special election rejected an ordinance that would have allowed the project to proceed. The developers allege that the governing 2022 ordinance had a misprint in the zoning district abbreviations that resulted in the ordinance inadvertently disallowing the project. A new ordinance was adopted to correct the mistake, but 80% of residents voted it down in a special election.",,"Michigan Circuit Court, Van Buren County",state_trial,,,,,lead,Lead from web search 2026-09-24 (not confirmed): Developer suit filed August 2023 in Van Buren County Circuit Court (WOOD-TV); Law360 reports the parties agreed to end the dispute. Exact caption not found.
MN,Hale Township Community Solar Garden,solar,REC-0220,contested_project,pending,residents,2021,"The McLeod County Board of Commissioners rejected a proposal for a 3.5-acre solar garden on prime farmland in 2021. In 2024, the Minnesota Court of Appeals overturned the County Board’s decision, finding that their stated concerns about impacts to neighboring property values and prime farmland were arbitrary and capricious and ordered the Board to approve the project.",,,,,,,,needs_docket_research,
MO,Grain Belt Express Tiger Connector Expansion,solar;transmission,REC-0231,contested_project,advanced_unverified,"local_residents, organized_group",October 2024,"A Facebook group with 600 followers called “Callaway County Missouri Solar Invasion” organized residents to oppose a 40-mile connector to the 800-mile Grain Belt Express (GBX) transmission line. Opponents raised concerns about visual impacts and loss of farmland caused by the solar projects that the transmission line will support. In October 2024, the state’s court of appeals ruled that Chariton County government could not block the construction of the project by refusing permission to cross its county roads.",,,,,,,,needs_docket_research,
MO,Guthrie Solar Project,solar,REC-0232,contested_project,blocked_unverified,"organized_group, local_residents","April 27, 2022","The regulaDons described above that the City of New Bloomfield adopted on April 27, 2022, rendered plans for the 100-MW, 600-acre Guthrie Solar Project a nuisance. The project was planned to be within city limits, and the new rules prohibited any commercial solar project within 1,000 feet of city limits.",,,,,,,,needs_docket_research,
MO,Osborn Wind Project,wind,REC-0233,contested_project,pending,"local_residents, organized_group","2010, lawsuits and settlement in 2018-2020","The 200-MW, 97-turbine Osborn Wind Project was proposed in Clinton and DeKalb Counties in 2010. Local residents founded the Concerned Citizens for the Future of Clinton and DeKalb Counties group to oppose wind development. Following a number of lawsuits, NextEra and the Washington Township Zoning Commission reached a settlement agreement in 2018 that allowed for the construction of up to 24 turbines. The developer dropped a lawsuit against Clinton County in 2020.",,,,,,,,needs_docket_research,
MT,Basin Creek Solar Project,solar,REC-0235,contested_project,pending,litigation,,"On July 15, 2021, the BuWe-Silver Bow Zoning Board of Adjustment denied a permit to FX Solutions for the Basin Creek Solar Project on 1,600 acres. In August 2021, FX Solutions appealed the decision. The company argued that the Zoning Board erred by focusing only on public opposition and ignoring support for the project.",,,,,,,,needs_docket_research,
MT,Crazy Mountain Wind Project,wind,REC-0236,contested_project,blocked_unverified,litigation,,"PaWern Energy proposed a 22-turbine wind project in Sweet Grass County. Four companies that owned neighboring land initiated legal action alleging nuisance. In March 2019, a Montana judge issued a preliminary injunction on construction while the case awaited trial. By July 2019, PaWern asserted that the preliminary injunction made it impossible to obtain necessary financing and satisfy contractual obligations, leading to the abandonment of the project.",,Montana Sixth Judicial District Court,state_trial,,,,,lead,Lead from web search 2026-09-24 (not confirmed): Neighbors' nuisance suit filed September 2018 in Montana's Sixth Judicial District Court; preliminary injunction March 2019; Pattern abandoned the project and moved to dismiss. A later Montana Supreme Court matter (DA 21-0410) may relate. Caption not found.
NC,Coastal Pine Solar Farm,solar,REC-0319,contested_project,pending,litigation,December 2022 - June 2023,"In December 2022, Coastal Pine Solar filed a lawsuit after its application to build a 2,300-acre solar farm was denied unanimously by county commissioners in September 2022. The company claimed that the commissioners misapplied zoning ordinances based on generalized fears of solar farms. In response, the county filed an affidavit claiming its denial was based on its belief that the transmission line that would be connected to the solar farm could not safely handle the power generated. The county then filed a motion to dismiss, which was denied by the Superior Court. In June 2023, after several conferences between the parties, the court ordered the two sides to enter mediation to settle the dispute.","Coastal Pine Solar, LLC v. Pender County",North Carolina Court of Appeals,state_appellate,COA24-108,ruled_for_opposition,https://caselaw.findlaw.com/court/nc-court-of-appeals/129583.html,,promoted,"Verified 2026-09-24 by web search: a FindLaw / vLex result names this case, court and docket; opinion text not read. Decided 2026-06-17: county's permit denial upheld."
NC,Shady Grove Solar Farm,solar,REC-0320,contested_project,blocked_unverified,litigation,"October 2020 - December 31, 2024","Yadkin County denied a conditional use permit for the Shady Grove Solar farm in October 2020. The solar farm, a joint venture between Silver Creek Energy and Pine Gate Renewables, would have produced 22 MW on 285 acres. Opponents testified at an evidentiary hearing about their concerns of flooding from the removal of trees, as well as impacts to water quality and tourism. The developer appealed the decision in November 2020.",,,,,,,,needs_docket_research,
NE,Dawson County moratorium,wind,REC-0246,restriction,,,November 2022; May 2023,"In November 2022, Dawson County adopted a 1-year moratorium on wind farm applications. In May 2023, the Dawson County Board of Commissioners adopted amendments to its wind regulations that impose setbacks of 3 miles from non-participating property lines, participating dwellings, road rights-of-way, and public conservation lands. The regulations also limit noise to 40 dBa at the nearest dwelling.",,,,,,,,needs_docket_research,
NH,Antrim Wind Project,wind,REC-0268,contested_project,advanced_confirmed,"environmental_group, local_residents, state_political",December 2016,"In December 2016, the New Hampshire Site Evaluation Committee approved the 29-MW Antrim wind farm, which would involve nine wind turbines on a ridge. Project opponents, including local residents and environmental groups, appealed the decision to the New Hampshire Supreme Court. In May 2018, the court ruled against the project opponents on all counts, allowing the project to move forward. The project began commercial operations in 2019.",In re Allen (Antrim Wind Energy),Supreme Court of New Hampshire,state_supreme,,ruled_for_developer,https://www.courtlistener.com/opinion/7923542/in-re-allen/,,promoted,"Verified 2026-09-24 by web search: a CourtListener result names this case, court; opinion text not read. May 2018 (per NHPR): Site Evaluation Committee approval upheld."
NH,Franklin Solar Project,solar,REC-0269,contested_project,advanced_confirmed,local_residents,April 2024,"In April 2024, the New Hampshire Supreme Court overturned the City of Franklin Planning Board’s denial of a 6-acre, 1-MW solar farm proposed by GSSG New Hampshire. The project met the city’s zoning ordinances but was opposed by residents concerned about disruptions to scenery and property values. The court stated that a board cannot deny projects that comply with zoning ordinances based solely on subjective views. The court essentially approved the project by issuing a builder's remedy which allows a project to proceed if it meets zoning ordinances.","Mojalaki Holdings, LLC v. City of Franklin",Supreme Court of New Hampshire,state_supreme,2022-0122,ruled_for_developer,https://law.justia.com/cases/new-hampshire/supreme-court/2024/2022-0122.html,,promoted,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. Decided 2024-04-09: planning board denial reversed; builder's remedy granted."
