source_record_id,state,jurisdiction,technology,mechanisms,status,reason,description,long_description
REC-0498,PA,,solar,ban/prohibition,unknown,state-level row: verify the statute against the report before seeding,Pennsylvania State University Center for Energy Law and Policy provides a database of solar ordinances in Pennsylvania.,"The Pennsylvania State University Center for Energy Law and Policy maintains a searchable spreadsheet documenting solar ordinances in 67 counties and 2,559 municipal corporations across the state. This resource highlights local restrictions on solar energy development."
REC-0389,RI,,solar,ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,Rhode Island enacted a solar siting bill that prohibits developing solar farms in core forests.,"In 2023, Rhode Island enacted a solar siting bill that increases the annual statewide cap on new Renewable Energy Growth developments from 40 MW to 300 MW per year but prohibits participating developers from developing solar farms in 'core forests'. Core forests are defined as unfragmented forest blocks of single or multiple parcels totaling at least 250 acres and at least 25 yards from mapped roads. Exceptions could be allowed for projects already underway or on preferred sites within core forests."
REC-0411,TN,,"wind,solar",ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,Tennessee passed a ban on new utility-scale solar and wind projects in 2019.,"In 2019, Tennessee enacted legislation that prohibits the construction of new utility-scale solar and wind energy facilities. This ban is effective statewide and applies to both public and private utilities."
REC-0412,TN,,wind,"setback, ban/prohibition",in_force,state-level row: verify the statute against the report before seeding,"Tennessee passed HB 1731 of 2018, setting minimum requirements for wind facilities and imposing a moratorium on certain projects.","HB 1731 of 2018 sets minimum setback requirements for wind facilities in Tennessee. Local legislation must include a minimum setback requirement of 3.5 times the turbine height from non-participating property lines, with exceptions for landowner waivers and specific elevation restrictions on turbines."
REC-0413,TN,,wind,moratorium,in_force,state-level row: verify the statute against the report before seeding,"Tennessee passed HB 1021/SB 1336, imposing a one-year moratorium on wind energy facility construction.","HB 1021/SB 1336 imposed a one-year moratorium on the construction of new wind energy facilities in Tennessee. The moratorium included an exemption for counties and municipalities that had adopted regulations by July 1, 2017, and established a study committee to evaluate siting issues."
REC-0418,TX,,"wind,solar",ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,Texas state government has enacted bans on wind and solar projects in certain areas.,"The Texas state government has implemented a series of bans on the development of wind and solar energy projects in specific regions, citing environmental concerns and land use issues. These restrictions have been adopted over several years from 2019 to 2023, with ongoing legal challenges."
REC-0500,VA,,solar,ban/prohibition,unknown,state-level row: verify the statute against the report before seeding,University of Virginia Weldon Cooper Center for Public Service provides a summary of large-scale solar projects proposed in Virginia.,"The University of Virginia Weldon Cooper Center for Public Service maintains a database that summarizes large-scale solar projects proposed for local approval in Virginia. This resource includes data on approved megawatts, denied megawatts, and the approval rate of solar projects in the state."
REC-0438,VT,,wind,ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,Vermont enacted a ban on new wind projects in 2019.,"In 2019, Vermont passed legislation prohibiting the construction of new utility-scale wind energy facilities. This ban was implemented to address local concerns and opposition from residents and environmental groups regarding visual impacts and noise pollution."
REC-0471,WV,,wind,ban/prohibition,in_force,state-level row: verify the statute against the report before seeding,West Virginia passed a ban on new wind energy projects in 2019-2020.,"In 2019-2020, West Virginia enacted a state law prohibiting the construction of new utility-scale wind energy projects within the state. This ban was implemented to address local concerns and opposition from various stakeholders."
REC-0472,WV,Greenbrier County,"wind, solar",,in_force,state-level row: verify the statute against the report before seeding,"West Virginia passed Senate Bill 583 in 2020, which restricts utility-scale solar generation capacity.","Senate Bill 583 of 2020 (S.B. 583) limits utility-scale solar generation capacity by prohibiting any single facility from having a generating capacity greater than 200 MW and setting a cumulative limit of 400 MW for all facilities operating at any given time. It also imposes conditions on the expansion of solar facilities based on energy output sold to residential, commercial, or industrial customers."
REC-0496,WY,,"wind, solar","setback, ban/prohibition",unknown,state-level row: verify the statute against the report before seeding,"NREL published a comprehensive database of local ordinances in the United States, including wind and solar energy databases.","In August 2022, NREL released a database containing nearly 1028 2,000 wind ordinances and nearly 1,000 solar ordinances from across the United States. This resource provides information on local restrictions affecting renewable energy development."
REC-0010,AZ,Mohave County,,moratorium,lifted,status lifted: no longer in force,"Mohave County Board of Supervisors established a 240-day moratorium on energy overlay re-zoning for renewable projects, which was later lifted.","In October 2023, the Mohave County Board of Supervisors in Arizona cast a 3-2 vote to establish a 240-day moratorium on using energy overlay re-zoning for the development of renewable energy on private property. Prior to this, the Board had denied every application for energy overlay re-zoning. In June 2024, the Board voted 3-2 in favor of allowing solar projects within the county on land zoned for ‘Light Industrial’ use, effectively lifting the moratorium."
REC-0031,CO,Mesa County,solar,moratorium,lifted,status lifted: no longer in force,"Mesa County approved a six-month moratorium on commercial solar projects, which ended after new regulations were adopted in April 2024.","In January 2024, Mesa County Board of Commissioners approved a six-month moratorium on commercial solar projects to provide time to update local zoning regulations. The moratorium was lifted when the board approved new regulations in April 2024."
REC-0034,CO,San Miguel County,solar,moratorium,lifted,status lifted: no longer in force,"San Miguel County enacted a 6-month moratorium on applications for commercial energy projects, including solar, which was extended and ended after new zoning regulations were adopted in September 2024.","In May 2023, San Miguel County Board of Commissioners enacted a 6-month moratorium on applications for commercial energy projects (including solar), scheduled to expire in November 2024 after being extended twice. In September 2024, the Board unanimously adopted new zoning regulations on solar projects, ending the moratorium."
REC-0035,CO,Washington County,"wind,solar",moratorium,lifted,status lifted: no longer in force,"Washington County imposed a temporary moratorium on accepting, processing, and approving wind and solar farm permits in unincorporated parts of the county.","A temporary moratorium on accepting, processing, and approving wind and solar farm permits in unincorporated parts of Washington County went into effect on March 24, 2020. The moratorium was extended multiple times until August 31, 2021 or later."
REC-0056,GA,Grady County,solar,moratorium,lifted,status lifted: no longer in force,Grady County imposed a 60-day moratorium on solar farm applications.,"In February 2017, Grady County in Georgia imposed a 60-day moratorium on solar farm applications. The moratorium was later lifted and replaced by an ordinance providing setback requirements for solar farms."
REC-0059,GA,Lee County,solar,moratorium,lifted,status lifted: no longer in force,Lee County placed a moratorium on solar farm construction in response to increased interest from developers.,"In May 2019, Lee County officials in Georgia placed a moratorium on solar farm construction. The moratorium was extended through January 2021 and then lifted when the county adopted an amendment to its Zoning Ordinance of Solar Energy Systems."
REC-0111,IA,Greene County,solar,moratorium,lifted,status lifted: no longer in force,Greene County implemented a moratorium on utility-scale solar farms.,"In March 2022, Greene County put in place a moratorium on utility-scale solar farms for either 6 months or until the Iowa legislature passes a law that addresses solar farms. The moratorium was adopted following a public hearing at which residents spoke out against a proposed project by National Grid Renewables."
REC-0116,IA,Johnson County,solar,moratorium,lifted,status lifted: no longer in force,Johnson County approved a temporary moratorium on utility-scale solar energy farms.,"In December 2021, the Johnson County Board of Supervisors approved a temporary moratorium on the issuance of conditional use permits for utility-scale solar energy farms with a cumulative nameplate alternating current capacity greater than 10 MW. The Board set the moratorium to expire in June 2022."
REC-0118,IA,Linn County,solar,moratorium,lifted,status lifted: no longer in force,Linn County adopted a moratorium on utility-scale solar installations.,"In October 2022, Linn County adopted a moratorium on utility-scale solar installations. The moratorium has since been extended multiple times and was last set to expire on September 30, 2023."
REC-0078,IL,Ford County,wind,"moratorium, setback",lifted,status lifted: no longer in force,Ford County imposed a moratorium on wind projects and later increased setback requirements.,"In 2017, Ford County imposed a moratorium on wind energy projects while it revised its ordinance. In 2018, the county board’s zoning committee recommended increasing the existing 1,000-foot setback from buildings to 2,250 feet. At a hearing in October 2018, a group called Ford County Citizens for Property Rights demanded 3,250-foot setbacks from any property lines. On September 13, 2021, the County Board adopted an amended wind ordinance that increased setback to 2,250 feet from property lines upon which a primary structure is located."
REC-0079,IL,Lee County,,moratorium,lifted,status lifted: no longer in force,"Lee County imposed a moratorium on solar, wind, and battery storage projects.","In December 2021, the Lee County Board imposed a six-month moratorium on solar, wind, and battery storage projects. The moratorium was ultimately extended to November 2022. This type of moratorium would be invalid under state law pursuant to Public Act 102-1123 (2023)."
REC-0081,IL,Piatt County,,moratorium,lifted,status lifted: no longer in force,Piatt County imposed a moratorium on wind energy project applications.,"In August 2020, Piatt County extended a moratorium on wind energy project applications until March 2021 with unanimous approval from the County Board. In January 2023, Piatt County again imposed a moratorium on applications for wind energy projects through September 2023. This moratorium is likely invalid under state law pursuant to Public Act 102-1123 (2023)."
REC-0204,MI,Bridgehampton Township,wind,moratorium,lifted,status lifted: no longer in force,Bridgehampton Township initially proposed a wind moratorium but eventually rejected it.,"In March 2016, a Bridgehampton Township council member moved for a wind moratorium, but this moratorium was eventually rejected. In November 2016, the township adopted a six-month moratorium on new wind development under a new board supervisor."
REC-0214,MN,Minnetrista,solar,moratorium,lifted,status lifted: no longer in force,"Minnetrista implemented a moratorium on solar projects in agricultural areas, which was later lifted.","In October 2020, the City of Minnetrista (Hennepin County) implemented a moratorium on the construction of solar projects in agricultural preserve areas. In May 2021, the moratorium was lifted when the city adopted a new ordinance that caps all ground systems at 3,000 square feet and allows solar systems only as an accessory use."
REC-0310,NC,Currituck,solar,moratorium,lifted,status lifted: no longer in force,"Currituck County adopted a moratorium on new solar farms in January 2017, which remained in place until January 2019.","Currituck County adopted a moratorium on new solar farms in January 2017, which remained in place until January 2019. The county’s March 2022 Unified Development Ordinance does not allow “solar arrays” or “large” wind energy facilities in any zoning district."
REC-0313,NC,Rowan,solar,moratorium,lifted,status lifted: no longer in force,"Rowan County instituted a moratorium on large solar farms, which was extended twice.","In October 2019, Rowan County instituted a moratorium on large solar farms, set to expire in April 2020. It was extended twice. At the time of the most recent extension on October 5, 2020, it was set to expire on April 6, 2021."
REC-0327,ND,Mercer County,wind,moratorium,lifted,status lifted: no longer in force,"Mercer County adopted a 2-year moratorium on wind energy applications, blocking the Garrison Buje Wind Farm.","In May 2020, Mercer County in North Dakota adopted a two-year moratorium on wind energy development applications. This moratorium blocked the planned Garrison Buje Wind Farm project."
REC-0328,ND,Stark County,wind,moratorium,lifted,status lifted: no longer in force,Stark County approved a 9-month moratorium on wind energy development.,"In September 2021, the Stark County Board of Commissioners in North Dakota voted unanimously to approve a nine-month moratorium on any wind energy development in the county. This decision came as the City of Dickinson was considering a proposed wind farm by Marathon and One Energy. In July of the same year, the Commission withdrew the moratorium pursuant to court order and directed the county planning and zoning director to draft a new, lawful moratorium."
REC-0244,NE,Gretna,solar,moratorium,lifted,status lifted: no longer in force,Gretna City Council approved a temporary moratorium on solar plants and associated facilities.,"In July 2020, Gretna City Council approved a temporary moratorium on solar plants and associated facilities through October 2020 or until city codes were updated, whichever was sooner."
REC-0452,VA,Charloje County,solar,moratorium,lifted,status lifted: no longer in force,"Moratorium on solar project applications until January 1, 2024 or until zoning recommendations are made.","On August 8, 2022, the CharloWe County Board of Supervisors adopted a moratorium on applicaDons for solar projects through January 1, 2024, or unDl the CharloWe County Planning Commission makes a recommendaDon on zoning for solar projects, whichever happens first. In April 2023, CharloWe County liged the moratorium."
REC-0485,WI,Lincoln,wind,moratorium,lifted,status lifted: no longer in force,Lincoln passed a 6-month moratorium on wind energy development in response to RWE Renewables America’s interest in building a wind farm.,"In May 2021, the town of Lincoln, located in Eau Claire County, passed a 6-month moratorium on wind energy development in direct response to RWE Renewables America's interest in building a wind farm. The moratorium received support from several dozen residents at a township meeting."
